name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Desgranges Romain,FRA,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
Ghisolfi Stefano,ITA,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
McColl Sean,CAN,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
Ondra Adam,CZE,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
Supper Gautier,FRA,1,Top 1. | Top 1. [5.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,Top
Halenke Sebastian,GER,7,Top 1. | 36+ 9. [7.55],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,36+
Schubert Jakob,AUT,8,42 13. | Top 1. [7.65],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,42,Top
Nakano Minoru,JPN,9,Top 1. | 35+ 11. [8.49],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,35+
Skofic Domen,SLO,9,Top 1. | 35+ 11. [8.49],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,35+
Vettorata Francesco,ITA,11,37 21. | Top 1. [9.72],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,37,Top
Röck Bernhard,AUT,12,Top 1. | 27+ 20. [11.09],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,27+
Rudigier Max,AUT,13,Top 1. | 19 28. [12.96],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,Top,19
Shimatani Naoki,JPN,14,38+ 18. | 36+ 9. [13.26],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,38+,36+
Korenaga Keiichiro,JPN,15,39+ 15. | 35+ 11. [13.64],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,39+,35+
Timmermans Loïc,BEL,16,42+ 12. | 28+ 17. [14.70],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,42+,28+
JonasMcRae Elan,CAN,17,39+ 15. | 34+ 14. [14.99],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,39+,34+
Lechner Mario,AUT,18,40 14. | 28+ 17. [15.87],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,40,28+
Hanke Christoph,GER,19,39 17. | 32 16. [16.49],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,39,32
Nomura Shinichiro,JPN,20,35+ 23. | 34+ 14. [18.26],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,35+,34+
Qu HaiBin,CHN,21,38+ 18. | 27+ 20. [19.47],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,38+,27+
Hakamada Naoto,JPN,22,31+ 24. | 28+ 17. [21.21],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,31+,28+
Wang Qinghua,CHN,22,37+ 20. | 23+ 22. [21.21],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,37+,23+
Ma ZiDa,CHN,24,36 22. | 22.5+ 24. [22.98],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,36,22.5+
Jech Martin,CZE,25,24 28. | 23+ 22. [25.10],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,24,23+
Qu Changfeng,CHN,26,31+ 24. | 22+ 25. [25.25],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,31+,22+
Takata Tomoaki,JPN,27,31+ 24. | 22 27. [25.98],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Men,Qualification,2015-10-17,/api/v1/category_rounds/3491/results,/api/v1/events/908/result/1,31+,22
