name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Kim Jain,KOR,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,Top,Top
Pilz Jessica,AUT,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,Top,Top
Verhoeven Anak,BEL,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,Top,Top
Markovic Mina,SLO,4,35+ 4. | Top 1. [3.74],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,35+,Top
Janicot Hélène,FRA,5,33+ 6. | Top 1. [5.12],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,33+,Top
Posch Katharina,AUT,6,34+ 5. | 45 7. [5.92],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,34+,45
Kalan Tjasa,SLO,7,33+ 6. | 42+ 8. [7.75],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,33+,42+
Kobayashi Yuka,JPN,8,33+ 6. | 41 9. [8.22],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,33+,41
Röck Magdalena,AUT,9,10+ 20. | Top 1. [8.37],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,10+,Top
Miller Delaney,USA,10,33+ 6. | 39 13. [9.87],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,33+,39
Fredman Netta,ISR,11,29+ 10. | 40 10. [10.75],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,29+,40
Ota Risa,JPN,11,29+ 10. | 40 10. [10.75],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,29+,40
Lavarda Jenny,ITA,13,28+ 13. | 40 10. [12.19],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,28+,40
Onoe Aya,JPN,14,29 12. | 30+ 15. [13.42],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,29,30+
Tajima Aika,JPN,15,28+ 13. | 32+ 14. [13.75],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,28+,32+
Hiroshige Yuki,JPN,16,26 15. | 22+ 16. [15.49],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,26,22+
YOSHIMURA  Moe,JPN,17,22+ 16. | 20 18. [17.20],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,22+,20
Shimizu Natsuko,JPN,18,11+ 19. | 21 17. [17.97],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,11+,21
BAIMA YuZhen,CHN,19,17 17. | 20 18. [17.99],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,17,20
PUBU ZhuoMa,CHN,20,17 17. | 19+ 20. [18.71],"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",908,2015,Wujiang,Lead,Women,Qualification,2015-10-17,/api/v1/category_rounds/3486/results,/api/v1/events/908/result/5,17,19+
