name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Desgranges Romain,FRA,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Halenke Sebastian,GER,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
McColl Sean,CAN,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Ondra Adam,CZE,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Schubert Jakob,AUT,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Skofic Domen,SLO,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Supper Gautier,FRA,1,Top 1. | Top 1. [5.41],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,Top
Amma Sachi,JPN,9,Top 1. | 36+ 9. [7.86],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,36+
Ghisolfi Stefano,ITA,9,Top 1. | 36+ 9. [7.86],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,36+
Joannes Thomas,FRA,11,Top 1. | 36 11. [8.83],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,36
Nakano Minoru,JPN,12,Top 1. | 27+ 29. [14.53],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,Top,27+
Rudigier Max,AUT,13,32+ 16. | 35+ 14. [16.93],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,32+,35+
Vettorata Francesco,ITA,13,32+ 16. | 35+ 14. [16.93],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,32+,35+
Lehmann Sascha,SUI,15,34 14. | 30+ 23. [18.33],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,34,30+
Lechner Mario,AUT,16,31 27. | 36 11. [18.49],IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,909,2015,Kranj,Lead,Men,Qualification,2015-11-14,/api/v1/category_rounds/3499/results,/api/v1/events/909/result/1,31,36
