name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Gelmanov Rustam,RUS,1,4t7 4b6,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,3,2,1,1,X,X,2,2,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Hori Tsukuru,JPN,1,4t8 5b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,1,2,1,1,1,4,1,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,2,4t11 5b14,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,4,4,4,4,4,1,1,2,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Levier Alban,FRA,2,4t8 5b6,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,1,1,1,1,1,3,2,3,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Hojer Jan,GER,3,4t8 4b8,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,X,2,2,4,4,1,1,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,3,3t4 5b11,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,2,1,1,X,5,2,2,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
McColl Sean,CAN,4,3t5 4b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,1,1,1,X,X,3,1,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Moroni Gabriele,ITA,4,4t9 5b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,2,2,1,2,2,4,1,1,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Landman Tyler,GBR,5,3t7 4b16,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,10,3,3,X,X,2,2,2,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,5,4t12 5b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Qualification,2016-04-15,/api/v1/category_rounds/3805/results,/api/v1/events/937/result/3,X,1,3,3,2,1,4,1,3,1,2016-04-15_Meiringen_Boulder_Men_Qualification.csv
