name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Landman Tyler,GBR,1,3t4 3b3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,2,1,1,1,1,1
Levier Alban,FRA,2,3t6 3b3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,3,1,1,1,2,1
Rubtsov  Aleksei,RUS,3,3t6 3b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,3,1,1,1,2,2
Schubert Jakob,AUT,4,2t3 3b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,2,1,1,2,1
Verhoeven Jorg,NED,5,2t3 3b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,2,1,1,2,2
Stranik Martin,CZE,6,2t4 4b11,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,6,X,2,2,2,2,1
Mawem Mickael,FRA,7,2t4 3b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,1,1,3,2
Moroni Gabriele,ITA,7,2t4 3b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,2,1,2,2
Fujii Kokoro,JPN,9,2t4 3b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,1,1,3,3
Hojer Jan,GER,9,2t4 3b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,3,3,1,1
Hori Tsukuru,JPN,11,2t4 3b6,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,2,1,1,3,3
Gelmanov Rustam,RUS,12,2t5 3b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,5,1,1,4,1
Bonder Jeremy,FRA,13,2t5 3b8,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,4,1,1,4,3
Kruder Jernej,SLO,14,2t7 3b10,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,4,2,1,5,5
Sugimoto Rei,JPN,15,2t11 3b9,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,4,1,7,7
Barrans David,GBR,16,1t1 4b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,3,X,1,1,1,X,2
Chon Jongwon,KOR,17,1t1 2b2,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,1,1,X,X
Narasaki Tomoa,JPN,18,1t1 1b1,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,X,1,1,X,X
Baltrunas Kipras,LTU,19,1t2 3b4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,2,2,X,1
McColl Sean,CAN,20,0t 3b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,937,2016,Meiringen,Boulder,Men,Semi-Final,2016-04-15,/api/v1/category_rounds/3806/results,/api/v1/events/937/result/3,X,X,X,1,X,1,X,3
