name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Chon Jongwon,KOR,1,3t8 4b13,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,2,2,2,2,X,5,4,4,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Gelmanov Rustam,RUS,2,2t2 4b12,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,1,1,X,2,X,8,1,1,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Narasaki Tomoa,JPN,3,2t3 3b6,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,1,1,X,4,2,1,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Bonder Jeremy,FRA,4,2t5 4b7,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,3,1,X,1,X,3,2,2,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Fujii Kokoro,JPN,5,2t5 4b11,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,1,1,X,5,4,4,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Rubtsov  Aleksei,RUS,6,2t6 2b4,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,5,3,1,1,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Shimatani Naoki,JPN,7,1t3 1b1,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,3,1,X,X,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Takata Tomoaki,JPN,8,0t 3b8,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,X,2,X,5,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Ogata Yoshiyuki,JPN,9,0t 2b2,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,X,1,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,10,0t 2b3,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,2,X,1,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Baratzadeh Gholamali,IRI,11,0t 2b3,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,2,X,1,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Hori Tsukuru,JPN,12,0t 2b5,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,X,4,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Shimizu Atsushi,JPN,13,0t 2b5,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,4,X,1,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Hans Moritz,GER,14,0t 2b8,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,1,X,7,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,15,0t 1b1,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,1,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Nouri Amir,IRI,16,0t 1b1,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,X,X,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Dornauer Alfons,AUT,17,0t 1b1,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,1,X,X,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,18,0t 1b2,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,X,X,2,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Stranik Martin,CZE,19,0t 1b2,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,2,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
Watabe Keita,JPN,20,0t 0b,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,941,2016,NaviMumbai,Boulder,Men,Semi-Final,2016-05-14,/api/v1/category_rounds/3832/results,/api/v1/events/941/result/3,X,X,X,X,X,X,X,X,2016-05-14_NaviMumbai_Boulder_Men_Semi-Final.csv
