name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Coxsey Shauna,GBR,1,4t6 5b7,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,1,1,X,1,1,1,2,2,2,2,2016-06-10_Vail_Boulder_Women_Qualification.csv
Puccio Alex,USA,1,4t6 5b7,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,3,1,1,X,1,1,1,1,1,2016-06-10_Vail_Boulder_Women_Qualification.csv
Mascarenas Megan,USA,3,4t9 5b10,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,4,4,1,1,X,1,2,2,2,2,2016-06-10_Vail_Boulder_Women_Qualification.csv
Stöhr Anna,AUT,4,3t6 5b10,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,3,X,2,X,2,1,1,2,2,2016-06-10_Vail_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,5,3t8 4b9,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,3,X,X,X,1,4,4,1,1,2016-06-10_Vail_Boulder_Women_Qualification.csv
Condie Kyra,USA,6,3t13 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,2,X,X,X,1,6,3,4,2,2016-06-10_Vail_Boulder_Women_Qualification.csv
Nonaka Miho,JPN,7,2t2 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,1,1,X,2,X,2,1,1,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
Le Neve Melissa,FRA,8,2t5 5b8,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,2,2,X,1,X,1,X,1,3,3,2016-06-10_Vail_Boulder_Women_Qualification.csv
Schwaiger Berit,AUT,9,2t5 3b11,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,2,2,X,X,X,X,X,6,3,3,2016-06-10_Vail_Boulder_Women_Qualification.csv
Durif Charlotte,FRA,10,2t6 3b8,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,3,X,X,X,3,3,2,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
Sinnhuber Karoline,AUT,11,2t6 2b6,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,3,3,X,X,X,X,3,3,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
Tracy Michaela,GBR,12,2t8 3b8,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,5,3,X,X,X,2,3,3,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
Klingler Petra,SUI,13,1t1 3b5,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,X,1,X,3,X,X,1,1,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
Blair-Coyle Sierra,USA,14,1t1 1b1,IFSC Climbing Worldcup (B) - Vail (USA) 2016,943,2016,Vail,Boulder,Women,Qualification,2016-06-10,/api/v1/category_rounds/3840/results,/api/v1/events/943/result/7,X,X,X,X,X,X,1,1,X,X,2016-06-10_Vail_Boulder_Women_Qualification.csv
