name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Jaubert Anouck,,1,8.27,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,8.66,True,8.07,True,7.99,True,8.27,,
Miroslaw Aleksandra,,2,FALL,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,8.64,True,8.69,True,8.22,False,FALL,,
Tsyganova Anna,,3,8.39,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,8.75,True,8.21,False,FALL,,,True,8.39
Buczek Klaudia,,4,9.11,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,9.28,True,8.87,False,8.75,,,False,9.11
Ropek Edyta,,5,8.33,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,8.71,False,8.33,,,,,,
Ivanova Elizaveta,,6,9.05,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,9.82,False,9.05,,,,,,
Andrier Victoire,,7,9.31,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,10.55,False,9.31,,,,,,
Lach Nina,,8,10.48,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,True,9.64,False,10.48,,,,,,
Kan Daria,,9,9.06,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.06,,,,,,,,
Brozek Anna,,10,9.25,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.25,,,,,,,,
Motovilova Svetlana,,11,9.29,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.29,,,,,,,,
Marenych Alla,,12,9.37,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.37,,,,,,,,
Chudziak Patrycja,,13,9.39,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.39,,,,,,,,
Fleuret Elma,,14,9.74,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,9.74,,,,,,,,
Sarisson Aurelia,,15,11.22,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,11.22,,,,,,,,
Timofeeva Elena,,16,FALL,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",944,2016,Chamonix,Speed,Women,Final,2016-07-11,/api/v1/category_rounds/3850/results,/api/v1/events/944/result/6,False,FALL,,,,,,,,
