name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Desgranges Romain,FRA,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Halenke Sebastian,GER,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
McColl Sean,CAN,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Schubert Jakob,AUT,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Skofic Domen,SLO,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Supper Gautier,FRA,1,Top 1. | Top 1. [7.35],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,Top
Bailey Sean,USA,8,Top 1. | 39+ 8. [11.32],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,39+
Ghisolfi Stefano,ITA,8,Top 1. | 39+ 8. [11.32],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,39+
Higuchi Masahiro,JPN,8,Top 1. | 39+ 8. [11.32],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,Top,39+
