name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Garnbret Janja,SLO,1,Top,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,Top,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Kim Jain,KOR,1,Top,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,Top,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Verhoeven Anak,BEL,1,Top,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,Top,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Pilz Jessica,AUT,4,44+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,44+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Röck Magdalena,AUT,5,41+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,41+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Rosen Kajsa,SWE,6,38+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,38+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Fakhritdinova Dinara,RUS,7,37,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,37,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Janicot Hélène,FRA,8,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,36+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Becerra Mathilde,FRA,8,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,36+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Ota Risa,JPN,10,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,36+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Posch Katharina,AUT,11,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,36+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Miller Delaney,USA,12,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,36+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Chanourdie Julia,FRA,13,35,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,35,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Kazbekova Ievgeniia,UKR,14,35,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,35,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Romain Salomé,FRA,15,30+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,30+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Koller Anne-Sophie,SUI,16,30+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,30+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Kalan Tjasa,SLO,17,27+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,27+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Schubert Hannah,AUT,18,26+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,26+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Han Seuran,KOR,19,25.5+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,25.5+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Arc Nolwenn,FRA,20,20,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,20,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Gollo Asja,ITA,21,19+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,19+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Ring Alina,SUI,22,15+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,15+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Kobayashi Yuka,JPN,23,15+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,15+,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
Kamin Rebeka,SLO,24,15,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Women,Semi-Final,2016-07-22,/api/v1/category_rounds/3867/results,/api/v1/events/946/result/5,15,2016-07-22_Briançon_Lead_Women_Semi-Final.csv
