name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Coxsey Shauna,GBR,1,5t5 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,1,1
Kaiser Clementine,FRA,1,5t5 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,1,1
Lapshina Evgeniya,RUS,1,5t5 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,1,1
Le Neve Melissa,FRA,1,5t5 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,1,1
Nonaka Miho,JPN,1,5t5 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,1,1
Noguchi Akiyo,JPN,2,5t6 5b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,2,2
Gejo Stasa,SRB,3,4t4 5b9,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,X,5
Kruder Julija,SLO,4,4t4 5b11,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,X,7
Crane Leah,GBR,5,5t6 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,2,1,1,1,1,1
Gibert Fanny,FRA,5,4t4 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,X,X
Medici Giulia,ITA,5,5t6 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,2,1,1,1
Sakamoto  Ayari,JPN,5,5t6 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,2,1,1,1,1,1,1,1
Sandoz Mélanie,FRA,5,4t4 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,X,X
Slemensek Tjasa,SLO,5,5t6 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,2,1,1,1
Caulier Chloe,BEL,7,4t5 5b7,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,2,1,X,3
Sterrer Franziska,AUT,8,4t5 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,1,1,1,1,1,1,X,X
Bärtschi Natalie,SUI,9,5t7 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,1,1,1,1,2,1,1,1
Kiesgen Lilli ,GER,9,4t5 4b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,2,2,X,X
Kotake Mei,JPN,9,5t7 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,2,1,1,1,2,1
Saurwein Katharina,AUT,10,4t6 5b7,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,3,2,X,2
Hayes Tara,GBR,11,4t6 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,3,1,X,X
Klingler Petra,SUI,11,5t7 5b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,2,1,2,2,1,1
Midtboe Hannah,NOR,11,4t6 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,1,1,1,1,2,1,X,X
Retschy Monika,GER,12,5t7 5b7,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,1,1,1,1,3,3
Kipriianova Ekaterina,RUS,13,4t7 4b7,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,4,4,1,1,1,1,1,1,X,X
Lee Hung Ying,TPE,13,5t8 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,2,1,3,1,1,1,1,1
Kümin Andrea,SUI,14,5t8 5b8,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,3,3,1,1,2,2,1,1
Thévenet Marine,FRA,14,4t8 5b9,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,3,1,3,3,X,3
Pinggera Julia,AUT,15,5t9 5b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,1,1,2,1,2,1,2,2
Yip Alannah,CAN,15,4t8 4b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,1,1,1,1,4,2,X,X
Bestvater Alma,GER,16,5t10 5b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,3,2,4,1,1,1
Shemulinkina  Tatiana,RUS,16,4t8 4b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,3,1,1,1,1,1,3,3,X,X
Färber Johanna,AUT,17,4t8 4b8,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,4,4,1,1,1,1,2,2,X,X
Ruzickova Petra,CZE,17,5t10 5b8,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,2,2,2,1,1,1,3,3
Kadic Katja,SLO,18,4t4 5b5,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,X,1,1,1,1,1,1,1,1,1
Yokoyama Sofya,SUI,18,4t9 4b8,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,1,1,1,1,2,2,5,4,X,X
Chulich Lisa,USA,19,4t5 5b6,IFSC Climbing Worldcup (B) - Munich (GER) 2016,947,2016,Munich,Boulder,Women,Qualification,2016-08-12,/api/v1/category_rounds/3872/results,/api/v1/events/947/result/7,2,1,X,2,1,1,1,1,1,1
