name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Kaplina Iuliia,RUS,1,7.950,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Buczek Klaudia,POL,2,8.250,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Jaubert Anouck,FRA,3,8.260,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Rudzinska Aleksandra,POL,4,8.410,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Ropek Edyta,POL,5,8.700,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Brozek Anna,POL,6,8.760,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Timofeeva Elena,RUS,7,8.850,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Sarisson Aurelia,FRA,8,8.930,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Chudziak Patrycja,POL,9,9.060,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
Lach Nina,AUT,10,9.260,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",949,2016,Arco,Speed,Women,Qualification,2016-08-26,/api/v1/category_rounds/3887/results,/api/v1/events/949/result/6,2016-08-26_Arco_Speed_Women_Qualification.csv
