name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Garnbret Janja,SLO,1,1. [3.00],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Kim Jain,KOR,1,1. [2.45],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Markovic Mina,SLO,1,1. [2.45],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Pilz Jessica,AUT,1,1. [3.00],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Röck Magdalena,AUT,1,1. [2.45],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Verhoeven Anak,BEL,1,1. [3.00],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,1.
Chanourdie Julia,FRA,7,4. [3.46],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,4.
Romain Salomé,FRA,7,4. [4.50],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,4.
Koller Anne-Sophie,SUI,9,5. [4.24],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,5.
Schranz Christine,AUT,9,5. [5.20],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,5.
Schubert Hannah,AUT,11,6. [6.00],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,6.
Thompson-Smith Molly,GBR,11,6. [5.61],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,6.
Becerra Mathilde,FRA,13,7. [6.54],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,7.
Posch Katharina,AUT,13,7. [8.66],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,7.
Arc Nolwenn,FRA,15,8. [6.71],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,8.
Kobayashi Yuka,JPN,15,8. [8.94],IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Lead,Women,Qualification,2016-09-14,/api/v1/category_rounds/3894/results,/api/v1/events/950/result/5,8.
