name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Dzienski Marcin,,1,5.83,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.23,True,5.93,True,6.06,True,5.83,,,2016-09-14_Paris_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,2,7.37,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.17,True,6.0,True,6.07,False,7.37,,,2016-09-14_Paris_Speed_Men_Final.csv
Shikov Aleksandr,,3,5.95,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.46,True,6.09,False,6.08,,,True,5.95,2016-09-14_Paris_Speed_Men_Final.csv
Mawem Bassa,,4,FALL,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.09,True,7.72,False,FALL,,,False,FALL,2016-09-14_Paris_Speed_Men_Final.csv
Gontero Leonardo,,5,6.24,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.37,False,6.24,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Kokorin Stanislav,,6,6.25,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.26,False,6.25,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Hroza Libor,,7,8.21,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.45,False,8.21,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Boldyrev Danyil,,8,FALL,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,True,6.3,False,FALL,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Timofeev Dmitrii,,9,6.31,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,6.31,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Pavlenko Kostiantyn,,10,6.34,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,6.34,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Nambot Quentin,,11,6.59,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,6.59,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Brosler John,,12,7.21,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,7.21,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Fossali Ludovico,,13,7.29,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,7.29,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Zhong QiXin,,14,FALL,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,FALL,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Artamonov  Georgy,,15,FALL,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,FALL,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
Kriz Jan,,16,FALL,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Speed,Men,Final,2016-09-14,/api/v1/category_rounds/3909/results,/api/v1/events/950/result/2,False,FALL,,,,,,,,,2016-09-14_Paris_Speed_Men_Final.csv
