name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Ghisolfi Stefano,ITA,1,Top 1. | Top 1. [3.46],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,Top,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Schubert Jakob,AUT,1,Top 1. | Top 1. [3.46],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,Top,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Skofic Domen,SLO,1,Top 1. | Top 1. [3.46],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,Top,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
KIM Hanwool,KOR,4,37+ 6. | Top 1. [5.10],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,37+,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Supper Gautier,FRA,4,37+ 6. | Top 1. [5.10],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,37+,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Desgranges Romain,FRA,6,Top 1. | 36+ 10. [6.36],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,Top,36+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
McColl Sean,CAN,7,29+ 12. | Top 1. [6.93],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,29+,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Joannes Thomas,FRA,8,27+ 16. | Top 1. [8.49],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,27+,Top,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Higuchi Masahiro,JPN,9,33 8. | 37+ 8. [8.50],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,33,37+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Fakirianov Dmitrii,RUS,10,Top 1. | 26+ 30. [9.57],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,Top,26+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Timmermans Loïc,BEL,11,28+ 13. | 37+ 8. [10.91],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,28+,37+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Qu HaiBin,CHN,12,28+ 13. | 36+ 10. [13.75],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,28+,36+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Nakagami Taito,JPN,13,33 8. | 35+ 20. [13.98],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,33,35+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Korenaga Keiichiro,JPN,14,32+ 10. | 35+ 20. [15.17],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,32+,35+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
Cano Blazquez Javier,ESP,15,27+ 16. | 36+ 10. [15.59],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1163,2016,Xiamen,Lead,Men,Qualification,2016-10-22,/api/v1/category_rounds/5993/results,/api/v1/events/1163/result/1,27+,36+,2016-10-22_Xiamen_Lead_Men_Qualification.csv
