name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Garnbret Janja,SLO,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,Top,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Verhoeven Anak,BEL,2,44+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,44+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Markovic Mina,SLO,3,43,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,43,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Schubert Hannah,AUT,4,39+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,39+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Kim Jain,KOR,5,37,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,37,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Noguchi Akiyo,JPN,6,35+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,35+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Becerra Mathilde,FRA,7,33,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,33,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Kobayashi Yuka,JPN,8,31+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,31+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Chanourdie Julia,FRA,9,29+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,29+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Posch Katharina,AUT,10,29+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,29+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
Kadic Katja,SLO,11,29+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,952,2016,Kranj,Lead,Women,Semi-Final,2016-11-26,/api/v1/category_rounds/3915/results,/api/v1/events/952/result/5,29+,2016-11-26_Kranj_Lead_Women_Semi-Final.csv
