name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Garnbret Janja,SLO,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,1,1,1,1
Nonaka Miho,JPN,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,1,1,1,1
Coxsey Shauna,GBR,2,5t7 5b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,3,3,1,1
Tracy Michaela,GBR,2,5t16 5b15,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,7,6,6,6
Caulier Chloe,BEL,3,5t9 5b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,2,1,1,1,1,1,2,2,3,3
Noguchi Akiyo,JPN,3,4t6 5b10,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,4,3,3
Gejo Stasa,SRB,4,4t4 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,1,1
Lee Hung Ying,TPE,4,4t7 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,4,1,X,X,1,1
Retschy Monika,GER,4,4t4 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,1,1
Kotake Mei,JPN,5,4t7 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,4,4
Klingler Petra,SUI,6,4t5 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,2,1,X,X,1,1
Posch Katharina,AUT,6,4t9 5b15,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,6,6,6
Stöhr Anna,AUT,6,4t5 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,2,1,1,1,X,X,1,1
Sa Sol,KOR,7,4t10 5b11,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,1,7,7
Kadic Katja,SLO,8,4t6 5b10,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,4,3,3
Hily Manon,FRA,8,4t10 4b10,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,7,7
Gibert Fanny,FRA,9,3t3 5b9,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,X,1,1,1,X,5,1,1
Kazbekova Ievgeniia,UKR,9,4t6 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,3,2,1,1,X,X,1,1
Yip Alannah,CAN,9,4t6 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,3,2
Kim Jain,KOR,10,3t3 3b3,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,1,1,X,X,X,X
Ekwinska Katarzyna,POL,11,2t2 5b14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,X,3,1,1,X,1,X,8
Onoe Aya,JPN,11,4t10 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,1,1,3,1,X,X,5,4
Kümin Andrea,SUI,12,3t4 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,X,2,1,1,X,X,2,2
Mascarenas Megan,USA,12,2t2 3b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,1,1,1,1,X,3,X,X
Cohaut Flavy,FRA,13,2t7 4b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,4,1,X,X,X,1,X,3,3,3
RENQING LaMu,CHN,13,3t6 3b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,X,X,1,1,X,X,4,4
Agrapart Maëlys,FRA,14,2t4 3b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,3,2,X,X,X,1,X,X,1,1
Tsyganova Anna,RUS,14,1t1 5b17,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,X,5,1,1,X,6,X,4
Bestvater Alma,GER,15,2t5 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,1,1,X,2,X,1,X,X,4,3
SOTOME Miharu,JPN,15,1t1 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,1,1,X,1,X,X,X,3
Kiesgen Lilli ,GER,16,1t3 4b9,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,3,X,X,X,1,X,3,3,2
Panteleeva Iuliia,RUS,16,1t2 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,X,1,X,1,X,X,2,2
Crane Leah,GBR,17,1t4 4b11,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,X,X,X,1,X,5,4,4
Zakharova Margaryta,UKR,17,1t3 3b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,3,X,X,X,2,X,X,3,3
JIANG Rong,CHN,18,0t 4b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,X,3,X,1,X,3,X,X
Niu Di,CHN,18,1t7 4b13,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,3,X,1,X,2,X,X,7,7
Kremer Valeri,ISR,19,0t 3b11,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,1,X,X,X,1,X,X,X,9
Kuznetsova Tamara,KAZ,19,0t 3b18,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,X,X,X,1,X,6,X,11
PUBU ZhuoMa,CHN,20,0t 1b1,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,X,X,X,1,X,X,X,X
RenZeng WangMu,CHN,20,0t 1b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,X,5,X,X,X,X,X,X
Melnykova Kseniia,UKR,21,0t 0b,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,X,X,X,X,X,X,X,X
Pearce Sarah,USA,21,0t 0b,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Boulder,Women,Qualification,2017-04-22,/api/v1/category_rounds/4261/results,/api/v1/events/986/result/7,X,X,X,X,X,X,X,X,X,X
