name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Deulin Vladislav,,1,5.91,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.27,True,6.01,True,6.09,True,5.91,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Kokorin Stanislav,,2,5.96,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.24,True,5.97,True,6.23,False,5.96,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Boldyrev Danyil,,3,5.62,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.01,True,5.9,False,6.73,,,True,5.62,2017-04-22_Chongqing_Speed_Men_Final.csv
Mawem Bassa,,4,6.88,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.63,True,6.12,False,8.32,,,False,6.88,2017-04-22_Chongqing_Speed_Men_Final.csv
Shikov Aleksandr,,5,5.92,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.15,False,5.92,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Gontero Leonardo,,6,6.16,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.32,False,6.16,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,7,6.44,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.11,False,6.44,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Hroza Libor,,8,7.80,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,True,6.06,False,7.8,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Zhong QiXin,,9,6.30,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,6.3,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Artamonov  Georgy,,10,6.38,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,6.38,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
LIN PengHui,,11,6.61,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,6.61,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Li JinXin,,12,6.72,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,6.72,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Bogomolov Arsenii,,13,7.76,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,7.76,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Pavlenko Kostiantyn,,14,8.00,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,8.0,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Shilov Aleksandr,,15,8.64,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,8.64,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
Fossali Ludovico,,16,FALL,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",986,2017,Chongqing,Speed,Men,Final,2017-04-22,/api/v1/category_rounds/4270/results,/api/v1/events/986/result/2,False,FALL,,,,,,,,,2017-04-22_Chongqing_Speed_Men_Final.csv
