name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Watabe Keita,JPN,1,3t8 3b6,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,2,2,5,3,1,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Chon Jongwon,KOR,2,2t4 2b2,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,3,1,X,X,1,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Cornu Manuel,FRA,3,2t5 4b7,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,3,1,X,2,X,2,2,2,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,4,2t5 4b8,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,3,2,2,2,X,1,X,3,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Sugimoto Rei,JPN,5,2t6 4b8,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,2,1,X,3,X,1,4,3,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Narasaki Tomoa,JPN,6,2t7 4b10,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,3,3,X,3,X,1,4,3,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,7,2t15 4b20,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,5,5,X,4,X,1,10,10,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Firnenburg David,GER,8,1t2 2b2,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,2,1,X,X,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Hori Tsukuru,JPN,9,1t5 2b3,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,5,2,X,X,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Timonov Vadim,RUS,10,1t6 4b17,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,6,1,X,7,X,1,X,8,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Fujii Kokoro,JPN,11,1t7 3b9,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,1,7,7,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Narasaki Meichi,JPN,11,1t7 3b9,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,7,1,X,7,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Rugens Rolands,LVA,13,0t 4b12,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,4,X,2,X,1,X,5,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Phillips Nathan,GBR,14,0t 3b7,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,5,X,X,X,1,X,1,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Harada Kai,JPN,15,0t 3b8,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,3,X,4,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Piazza Riccardo,ITA,16,0t 3b9,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,5,X,3,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Landman Tyler,GBR,17,0t 3b12,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,8,X,X,X,3,X,1,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,18,0t 3b13,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,8,X,4,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Topishko Sergii,UKR,19,0t 2b2,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,1,X,X,X,1,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
Dornauer Alfons,AUT,20,0t 2b13,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Boulder,Men,Semi-Final,2017-04-29,/api/v1/category_rounds/4277/results,/api/v1/events/987/result/3,X,11,X,X,X,2,X,X,2017-04-29_Nanjing_Boulder_Men_Semi-Final.csv
