name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Alipour Shenazandifard Reza,,1,5.54,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.63,True,5.67,True,5.48,True,5.54,,
Shikov Aleksandr,,2,FALL,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.8,True,5.7,True,5.61,False,FALL,,
Deulin Vladislav,,3,5.79,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,6.63,True,5.75,False,7.36,,,True,5.79
Mawem Bassa,,4,5.82,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.84,True,6.4,False,5.74,,,False,5.82
Gontero Leonardo,,5,5.92,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,6.0,False,5.92,,,,,,
Boldyrev Danyil,,6,6.04,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.66,False,6.04,,,,,,
Zhong QiXin,,7,6.85,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.97,False,6.85,,,,,,
Hroza Libor,,8,999.00,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,True,5.73,False,999.0,,,,,,
Shilov Aleksandr,,9,6.01,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.01,,,,,,,,
Fossali Ludovico,,10,6.06,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.06,,,,,,,,
Bogomolov Arsenii,,11,6.12,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.12,,,,,,,,
Artamonov  Georgy,,12,6.14,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.14,,,,,,,,
Kokorin Stanislav,,13,6.26,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.26,,,,,,,,
Pavlenko Kostiantyn,,14,6.33,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.33,,,,,,,,
Santoni Alessandro,,15,6.36,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,6.36,,,,,,,,
Dzienski Marcin,,16,999.00,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",987,2017,Nanjing,Speed,Men,Final,2017-04-29,/api/v1/category_rounds/4280/results,/api/v1/events/987/result/2,False,999.0,,,,,,,,
