name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Hroza Libor,CZE,1,5.720,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Alipourshenazandifar Reza,IRI,2,5.780,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Deulin Vladislav,RUS,3,6.000,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Dzienski Marcin,POL,4,6.030,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Kokorin Stanislav,RUS,5,6.080,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Artamonov  Georgy,RUS,6,6.110,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Shikov Aleksandr,RUS,6,6.110,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Fossali Ludovico,ITA,8,6.120,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Timofeev Dmitrii,RUS,9,6.260,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Gontero Leonardo,ITA,10,6.350,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Moro Guillaume,FRA,11,6.420,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Zodda Gian Luca,ITA,12,6.460,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Septo Wibowo Siburian Pangeran,INA,13,6.480,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Abudzar Yulianto,INA,14,6.500,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Mamiri Tonny,INA,15,6.520,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Luzhetskii Sergei,RUS,16,6.580,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
Santoni Alessandro,ITA,17,6.680,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Men,Qualification,2017-07-07,/api/v1/category_rounds/4307/results,/api/v1/events/991/result/2,2017-07-07_Villars_Speed_Men_Qualification.csv
