name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Garnbret Janja,SLO,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,Top
Kim Jain,KOR,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,Top
Pilz Jessica,AUT,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,Top
Verhoeven Anak,BEL,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,Top
Markovic Mina,SLO,5,42+ 7. | Top 1. [4.95],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,42+,Top
Chanourdie Julia,FRA,6,Top 1. | 44+ 7. [5.29],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,44+
Hayes Margo,USA,6,Top 1. | 44+ 7. [5.29],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,Top,44+
Kazbekova Ievgeniia,UKR,8,40+ 9. | 43+ 10. [10.49],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40+,43+
Rogora Laura,ITA,9,28+ 36. | Top 1. [12.27],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,28+,Top
Hulliger Michelle,SUI,10,41+ 8. | 37+ 18. [13.27],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,41+,37+
Lukan Vita,SLO,11,40+ 9. | 38 16. [13.47],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40+,38
Romain Salomé,FRA,12,39 17. | 41+ 11. [14.07],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,39,41+
Becerra Mathilde,FRA,13,34+ 26. | 44+ 7. [14.97],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,34+,44+
Ota Risa,JPN,14,39 17. | 40+ 12. [15.00],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,39,40+
Hafsaas Tina Johnsen,NOR,15,40+ 9. | 37+ 18. [15.56],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40+,37+
Koller Anne-Sophie,SUI,15,40+ 9. | 37+ 18. [15.56],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40+,37+
Schubert Hannah,AUT,15,40+ 9. | 37+ 18. [15.56],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40+,37+
Fiser Julia,AUT,18,39+ 15. | 38 16. [15.99],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,39+,38
Raboutou Brooke,USA,19,39+ 15. | 37+ 18. [18.47],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,39+,37+
Krampl Mia,SLO,20,40 14. | 33+ 28. [19.80],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,40,33+
Arc Nolwenn,FRA,21,33+ 33. | 40+ 12. [20.31],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,33+,40+
Emeleva Luiza,RUS,22,34 31. | 39+ 14. [21.00],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,34,39+
Berthier Nolwen,FRA,23,36+ 20. | 37+ 18. [21.24],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,36+,37+
Posch Katharina,AUT,24,36 22. | 37+ 18. [22.25],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,36,37+
Janicot Hélène,FRA,25,35+ 24. | 37+ 18. [23.22],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,35+,37+
Lavarda Jenny,ITA,25,35+ 24. | 37+ 18. [23.22],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,35+,37+
Brinkmann Joanne,SUI,27,36+ 20. | 31+ 30. [24.80],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,36+,31+
Slamti Kenza,FRA,28,28+ 36. | 39 15. [25.40],IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Qualification,2017-07-12,/api/v1/category_rounds/5998/results,/api/v1/events/1164/result/5,28+,39
