name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Ghisolfi Stefano,ITA,1,32+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,32+
KIM Hanwool,KOR,2,31+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,31+
Skofic Domen,SLO,3,29+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,29+
Desgranges Romain,FRA,4,29,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,29
Narasaki Tomoa,JPN,5,28,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,28
Chon Jongwon,KOR,6,27+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,27+
Korenaga Keiichiro,JPN,7,27+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,27+
Ogata Yoshiyuki,JPN,8,25+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,25+
Tekles Martin,GER,9,20+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,20+
Fujii Kokoro,JPN,10,20+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Lead,Men,Semi-Final,2017-10-07,/api/v1/category_rounds/4341/results,/api/v1/events/995/result/1,20+
