name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Kaplina Iuliia,,1,7.66,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.08,True,7.77,True,7.86,True,7.66,,
Jaubert Anouck,,2,7.73,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.06,True,8.91,True,7.92,False,7.73,,
Ivanova Elizaveta,,3,WILDCARD,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.45,True,8.35,False,8.34,,,True,WILDCARD
Susanti Rahayu Aries,,4,FALSE START,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,WILDCARD,True,8.08,False,9.23,,,False,FALSE START
Sarisson Aurelia,,5,8.28,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.36,False,8.28,,,,,,
Krasavina Mariia,,6,8.35,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.55,False,8.35,,,,,,
Wellyanti Santi,,7,8.51,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.89,False,8.51,,,,,,
Tsyganova Anna,,8,9.12,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,True,8.4,False,9.12,,,,,,
Marenych Alla,,9,8.68,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,8.68,,,,,,,,
Brozek Anna,,10,8.76,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,8.76,,,,,,,,
Andrier Victoire,,11,8.96,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,8.96,,,,,,,,
Buczek Klaudia,,12,9.28,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,9.28,,,,,,,,
Lestari Puji,,13,9.79,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,9.79,,,,,,,,
SONG YiLing,,14,10.39,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,10.39,,,,,,,,
He CuiLian,,15,10.93,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,10.93,,,,,,,,
Timofeeva Elena,,16,FALSE START,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Women,Final,2017-10-07,/api/v1/category_rounds/4339/results,/api/v1/events/995/result/6,False,FALSE START,,,,,,,,
