name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Chon Jongwon,KOR,1,45+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,45+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Narasaki Tomoa,JPN,2,45,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,45,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Ghisolfi Stefano,ITA,3,45,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,45,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Qu HaiBin,CHN,4,44+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,44+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Samoilov Fedir,UKR,5,44+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,44+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Pan YuFei,CHN,6,44+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,44+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Korenaga Keiichiro,JPN,7,41+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,41+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Fujii Kokoro,JPN,8,40+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,40+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
Joannes Thomas,FRA,9,40+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,40+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
KIM Hanwool,KOR,10,39+,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Lead,Men,Semi-Final,2017-10-14,/api/v1/category_rounds/4350/results,/api/v1/events/996/result/1,39+,2017-10-14_Xiamen_Lead_Men_Semi-Final.csv
