name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Alipourshenazandifar Reza,IRI,1,5.580,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Fossali Ludovico,ITA,2,5.950,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Deulin Vladislav,RUS,3,5.960,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Jaelolo Aspar,INA,4,5.980,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Shilov Aleksandr,RUS,5,6.050,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Muhammad Hinayah,INA,6,6.070,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Shikov Aleksandr,RUS,6,6.070,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Kokorin Stanislav,RUS,8,6.130,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Zhong QiXin,CHN,9,6.180,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Timofeev Dmitrii,RUS,10,6.190,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Gontero Leonardo,ITA,11,6.240,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Moro Guillaume,FRA,12,6.260,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Abudzar Yulianto,INA,13,6.300,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Bogomolov Arsenii,RUS,13,6.300,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Sabri Sabri,INA,15,6.380,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
Pavlenko Kostiantyn,UKR,16,6.390,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",996,2017,Xiamen,Speed,Men,Qualification,2017-10-14,/api/v1/category_rounds/4352/results,/api/v1/events/996/result/2
