name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Chon Jongwon,KOR,1,3T4z 7 8,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,4,4,1,1,2,1,X,X,X,2,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Topishko Sergii,UKR,1,4T5z 11 11,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,2,1,2,2,6,6,X,1,1,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,2,4T4z 12 10,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,3,2,3,3,4,4,2,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Harada Kai,JPN,2,2T4z 2 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,3,1,1,X,2,X,X,1,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,3,2T4z 5 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,X,2,1,X,1,3,1,X,3,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,3,4T4z 13 8,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,3,1,5,2,4,4,1,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,3,2T4z 5 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,2,2,1,X,2,X,X,3,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Khazanov Alex,ISR,4,4T4z 21 16,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,3,2,7,6,X,X,4,1,7,7,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Cornu Manuel,FRA,5,2T4z 8 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,4,1,1,X,1,X,X,7,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Peharc Anze,SLO,5,3T4z 7 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,2,2,1,1,X,3,4,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
