name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Noguchi Akiyo,JPN,1,4T4z 4 4,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,1,1,1,1,1,1,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Ito Futaba,JPN,2,2T4z 3 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,2,2,X,2,X,1,1,1,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Gejo Stasa,SRB,3,2T4z 4 5,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,1,X,1,3,2,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Nonaka Miho,JPN,4,2T4z 4 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,1,X,1,3,3,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Bestvater Alma,GER,5,2T4z 7 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,3,1,X,1,X,3,4,1,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Kipriianova Ekaterina,RUS,6,2T3z 2 5,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,X,1,1,X,3,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Gibert Fanny,FRA,7,2T3z 6 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,1,X,X,5,1,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Tracy Michaela,GBR,8,1T4z 4 13,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,2,X,3,X,4,4,4,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Coxsey Shauna,GBR,9,1T3z 1 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,1,X,1,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Blair-Coyle Sierra,USA,10,1T3z 1 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,1,1,X,X,X,1,X,4,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Kadic Katja,SLO,11,1T3z 2 4,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,2,1,X,1,X,2,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Repusic Urska,SLO,12,1T3z 2 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,2,1,X,2,X,3,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Yip Alannah,CAN,13,1T3z 3 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,3,3,X,1,X,2,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Condie Kyra,USA,14,1T3z 5 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,5,3,X,2,X,1,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
kajima Tomoko,JPN,15,1T2z 2 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,2,1,X,X,X,2,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Sa Sol,KOR,16,0T4z 0 8,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,2,X,1,X,1,X,4,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Panteleeva Iuliia,RUS,17,0T3z 0 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,1,X,X,X,5,X,1,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Buhrfeind Claire,USA,18,0T3z 0 9,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,3,X,2,X,4,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Färber Johanna,AUT,19,0T1z 0 2,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,2,X,X,X,X,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
Mackenzie Oceania,AUS,20,0T1z 0 4,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Women,Semi-Final,2018-06-02,/api/v1/category_rounds/4953/results,/api/v1/events/1051/result/7,X,X,X,4,X,X,X,X,2018-06-02_Tokyo_Boulder_Women_Semi-Final.csv
