name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Skofic Domen,SLO,1,41+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,41+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Megos Alexander,GER,2,39+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,39+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Joannes Thomas,FRA,3,39,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,39,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Schubert Jakob,AUT,4,38+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,38+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Desgranges Romain,FRA,5,37+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,37+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Ghisolfi Stefano,ITA,6,37+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,37+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Shimizu Hiroto,JPN,7,37,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,37,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Lehmann Sascha,SUI,8,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,36+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Homma Taisei,JPN,9,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,36+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
Bailey Sean,USA,10,36+,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,1055,2018,Briançon,Lead,Men,Semi-Final,2018-07-20,/api/v1/category_rounds/4988/results,/api/v1/events/1055/result/1,36+,2018-07-20_Briançon_Lead_Men_Semi-Final.csv
