name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Garnbret Janja,SLO,1,5T5z 10 9,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,5,5,2,1,1,1,1,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Nonaka Miho,JPN,1,5T5z 15 13,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,5,5,6,4,2,2,2018-08-17_Munich_Boulder_Women_Qualification.csv
Gibert Fanny,FRA,2,4T4z 8 6,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,2,2,X,X,4,2,1,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Pilz Jessica,AUT,2,4T5z 4 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,1,1,1,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kipriianova Ekaterina,RUS,3,3T4z 4 4,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,2,1,X,X,X,1,1,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Klingler Petra,SUI,3,4T5z 6 8,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,3,1,1,1,X,4,2018-08-17_Munich_Boulder_Women_Qualification.csv
Ito Futaba,JPN,4,3T4z 7 11,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,5,5,X,4,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Nakamura Mao,JPN,4,4T5z 14 13,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,1,4,4,6,3,2,2,X,3,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kadic Katja,SLO,5,3T3z 3 3,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,X,X,X,X,1,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,5,4T5z 17 17,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,4,4,11,10,1,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kotake Mei,JPN,6,4T4z 7 4,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,4,1,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kura Nanako,JPN,6,2T5z 6 11,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,2,X,2,X,1,5,5,2018-08-17_Munich_Boulder_Women_Qualification.csv
Bestvater Alma,GER,7,4T4z 8 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,1,1,5,2,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Schwaiger Berit,AUT,7,2T4z 3 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,2,1,1,X,X,X,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kaiser Clementine,FRA,8,3T5z 5 6,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,2,3,1,1,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Sinnhuber Karoline,AUT,8,2T4z 4 9,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,2,X,3,X,X,X,3,2,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Phillips Emily,GBR,9,2T4z 6 9,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,1,X,X,X,2,5,5,2018-08-17_Munich_Boulder_Women_Qualification.csv
Sandoz Mélanie,FRA,9,3T5z 6 11,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,1,4,1,1,1,X,7,2018-08-17_Munich_Boulder_Women_Qualification.csv
Koller Anne-Sophie,SUI,10,2T4z 11 18,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,3,2,X,3,X,5,X,X,8,8,2018-08-17_Munich_Boulder_Women_Qualification.csv
Sterrer Franziska,AUT,10,3T5z 12 14,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,1,X,1,9,7,1,1,X,4,2018-08-17_Munich_Boulder_Women_Qualification.csv
Caulier Chloe,BEL,11,2T3z 2 3,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,1,X,X,X,X,1,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Lapshina Evgeniya,RUS,11,3T4z 4 6,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,2,1,1,1,X,3,2018-08-17_Munich_Boulder_Women_Qualification.csv
Onoe Aya,JPN,12,2T3z 3 8,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,X,X,X,5,2,2,2018-08-17_Munich_Boulder_Women_Qualification.csv
Shiraishi Ashima,USA,12,3T4z 5 6,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,3,3,X,1,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Condie Kyra,USA,13,3T3z 6 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,4,3,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Repusic Urska,SLO,13,2T3z 4 6,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,3,3,X,X,X,2,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Hönig Afra,GER,14,2T3z 6 8,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,5,3,X,X,X,4,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Pinggera Julia,AUT,14,3T3z 7 4,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,5,2,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kiesgen Lilli ,GER,15,2T3z 8 10,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,X,X,X,2,7,7,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kruder Julija,SLO,15,2T5z 2 7,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,X,1,X,2,1,1,1,1,X,2,2018-08-17_Munich_Boulder_Women_Qualification.csv
Gejo Stasa,SRB,16,2T5z 3 13,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,1,X,6,2,1,X,4,2018-08-17_Munich_Boulder_Women_Qualification.csv
Sugimura Saeko,JPN,16,2T3z 8 11,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,7,7,X,X,X,3,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kaneko Momoka,JPN,17,1T4z 1 10,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,5,X,X,X,3,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kuzmenko Irina,RUS,17,2T4z 2 9,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,X,1,1,1,X,6,2018-08-17_Munich_Boulder_Women_Qualification.csv
Faille Camille,FRA,18,1T4z 2 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,2,X,1,X,X,X,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Kikuchi Saki,JPN,18,2T4z 8 13,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,6,1,X,4,X,6,2,2,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Cohaut Flavy,FRA,19,2T4z 12 10,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,3,1,X,X,9,7,X,1,X,1,2018-08-17_Munich_Boulder_Women_Qualification.csv
Vandet Salling Katrine,DEN,19,1T4z 2 10,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,2,X,1,X,5,X,2,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Andre Charlotte,FRA,20,1T3z 1 4,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,1,X,X,X,2,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Zijlstra Vera,NED,20,2T3z 5 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,4,1,X,X,X,3,1,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Bärtschi Natalie,SUI,21,2T3z 5 7,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,2,1,X,X,X,5,3,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Fell Frederike,GER,21,1T3z 1 5,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,X,X,X,X,1,X,3,2018-08-17_Munich_Boulder_Women_Qualification.csv
Adolph Isabell,GER,22,1T3z 1 7,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,4,X,X,X,2,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Fuchs Romy,GER,22,1T3z 1 7,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,2,X,X,X,4,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
Färber Johanna,AUT,22,1T3z 1 7,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,1057,2018,Munich,Boulder,Women,Qualification,2018-08-17,/api/v1/category_rounds/5000/results,/api/v1/events/1057/result/7,1,1,X,5,X,X,X,1,X,X,2018-08-17_Munich_Boulder_Women_Qualification.csv
