name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Skofic Domen,SLO,1,Top 1. | 38+ 1. [1.22],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,Top,38+
Konecny Jakub,CZE,2,Top 1. | 34.5+ 7. [3.87],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,Top,34.5+
Joannes Thomas,FRA,3,36+ 3. | 35 6. [4.58],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,36+,35
Schubert Jakob,AUT,3,35+ 5. | 35.5+ 3. [4.58],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,35+,35.5+
Ghisolfi Stefano,ITA,5,35+ 5. | 35.5 5. [5.48],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,35+,35.5
Nishida Hidemasa,JPN,6,31+ 12. | 36+ 2. [5.57],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,31+,36+
Desgranges Romain,FRA,7,31+ 12. | 35.5+ 3. [7.37],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,31+,35.5+
Rudigier Max,AUT,8,36+ 3. | 30+ 25. [9.45],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,36+,30+
Hada Yuki,JPN,9,32+ 8. | 34.5+ 7. [9.75],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,32+,34.5+
Lehmann Sascha,SUI,9,32+ 8. | 34.5+ 7. [9.75],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,32+,34.5+
