name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
ASPAR ASPAR,,1,5.81,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.07,True,5.71,True,5.71,True,5.81,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Fossali Ludovico,,2,5.94,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.11,True,6.07,True,5.9,False,5.94,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,3,5.96,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,5.9,True,5.83,False,5.8,,,True,5.96,2018-10-20_Wujiang_Speed_Men_Final.csv
Shilov Aleksandr,,4,5.99,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.2,True,6.24,False,6.07,,,False,5.99,2018-10-20_Wujiang_Speed_Men_Final.csv
Rukin Sergei,,5,5.92,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.2,False,5.92,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Li JinXin,,6,6.16,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.33,False,6.16,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Timofeev Dmitrii,,7,6.27,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.37,False,6.27,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Boldyrev Danyil,,8,6.54,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,True,6.18,False,6.54,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Mawem Bassa,,9,5.95,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,5.95,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
MUHAMMAD FAJRI ALFIAN,,10,6.12,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,6.12,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Pavlenko Kostiantyn,,11,6.29,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,6.29,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Septo Wibowo Siburian Pangeran,,12,6.30,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,6.3,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Deulin Vladislav,,13,6.40,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,6.4,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Zodda Gian Luca,,14,6.54,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,6.54,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
LEONARDO VEDDRIQ,,15,7.22,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,7.22,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
Shikov Aleksandr,,16,FALL,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Men,Final,2018-10-20,/api/v1/category_rounds/5019/results,/api/v1/events/1059/result/2,False,FALL,,,,,,,,,2018-10-20_Wujiang_Speed_Men_Final.csv
