name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Susanti Rahayu Aries,,1,7.74,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.13,True,8.02,True,7.86,True,7.74,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Jaubert Anouck,,2,8.01,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.189,True,7.98,True,8.09,False,8.01,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Kaplina Iuliia,,3,7.65,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.029,True,8.0,False,8.4,,,True,7.65,2018-10-20_Wujiang_Speed_Women_Final.csv
Krasavina Mariia,,4,7.87,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.53,True,7.99,False,8.89,,,False,7.87,2018-10-20_Wujiang_Speed_Women_Final.csv
Agustina Sari,,5,8.10,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.31,False,8.109,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Tsyganova Anna,,6,8.30,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.44,False,8.3,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
NI MingWei,,7,8.92,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,9.25,False,8.92,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Lestari Puji,,8,9.75,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,True,8.37,False,9.75,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Brozek Anna,,9,8.50,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,8.5,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
He CuiLian,,10,8.66,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,8.66,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
SALLSABILLAH RAJIAH,,11,8.80,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,8.8,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Andrier Victoire,,12,8.95,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,8.95,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Sarisson Aurelia,,13,9.01,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,9.01,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Barashchuk Ekaterina,,14,9.02,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,9.02,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
Kolkotina Tetiana,,15,9.47,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,9.47,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
IQAMAH NURUL,,16,FALL,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6,False,FALL,,,,,,,,,2018-10-20_Wujiang_Speed_Women_Final.csv
