name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Krasavina Mariia,RUS,1,7.874,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Kaplina Iuliia,RUS,2,7.877,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Susanti Rahayu Aries,INA,3,7.910,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Agustina Sari,INA,4,8.070,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Jaubert Anouck,FRA,5,8.150,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Lestari Puji,INA,6,8.230,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Brozek Anna,POL,7,8.280,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Nurul Iqomah,INA,8,8.360,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
NI MingWei,CHN,9,8.400,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Tsyganova Anna,RUS,10,8.430,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Sallsabillah Rajiah,INA,11,8.540,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Andrier Victoire,FRA,12,8.580,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
He CuiLian,CHN,13,8.620,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Barashchuk Ekaterina,RUS,14,8.900,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Sarisson Aurelia,FRA,15,8.960,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Kolkotina Tetiana,UKR,16,9.140,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
QIU HaiMei,CHN,17,9.170,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Remizova Elena,RUS,18,9.260,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
XIE GuiZhen,CHN,19,9.480,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Timofeeva Elena,RUS,20,9.970,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Mackenzie Oceania,AUS,21,10.570,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Mudji  Mulyani,INA,22,10.670,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Ito Futaba,JPN,23,11.030,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Garnbret Janja,SLO,24,11.210,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Sepulveda Elizabeth ,USA,25,11.520,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Noguchi Akiyo,JPN,26,11.730,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Pilz Jessica,AUT,27,12.100,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Gibert Fanny,FRA,28,12.230,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Kurita Miu,JPN,29,14.540,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Krampl Mia,SLO,30,14.990,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Frangos Rebecca,CAN,31,15.090,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
Doumont Heloïse,BEL,32,16.900,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
DENG LiJuan,CHN,33,False start,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Qualification,2018-10-20,/api/v1/category_rounds/5014/results,/api/v1/events/1059/result/6,2018-10-20_Wujiang_Speed_Women_Qualification.csv
