name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Garnbret Janja,SLO,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,Top,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Kim Jain,KOR,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,Top,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Noguchi Akiyo,JPN,1,Top 1. | Top 1. [2.65],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,Top,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Kalan Tjasa,SLO,4,Top 1. | 40+ 5. [4.95],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,40+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Pilz Jessica,AUT,4,Top 1. | 40+ 5. [4.95],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,40+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Schubert Hannah,AUT,4,Top 1. | 40+ 5. [4.95],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,Top,40+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Ito Futaba,JPN,7,45+ 12. | 41+ 4. [7.21],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,45+,41+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Markovic Mina,SLO,8,46+ 7. | 40+ 5. [7.71],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,46+,40+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Tajima Aika,JPN,9,45+ 12. | 40+ 5. [9.54],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,45+,40+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Krampl Mia,SLO,10,46+ 7. | 38+ 10. [10.31],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,46+,38+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
