name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Kruder Jernej,SLO,1,5T5z 7 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,2,1,1,1,1,2,2,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,1,5T5z 13 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,2,4,3,1,1,3,2,3,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Hojer Jan,GER,2,4T5z 5 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,1,1,1,1,X,2,2,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Mawem Mickael,FRA,2,5T5z 8 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,2,1,1,1,1,1,1,3,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Chon Jongwon,KOR,3,5T5z 10 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,4,1,1,1,1,1,3,3,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Timonov Vadim,RUS,3,4T5z 11 15,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,1,3,2,3,3,X,7,3,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,4,5T5z 10 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,2,3,2,1,1,3,3,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,4,4T5z 12 13,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,4,4,1,1,6,4,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Khazanov Alex,ISR,5,5T5z 10 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,1,1,1,1,5,5,2,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,5,3T5z 4 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,1,1,1,1,1,X,3,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Cornu Manuel,FRA,6,3T5z 6 16,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,7,X,5,2,2,1,1,3,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ogata Yoshiyuki,JPN,6,5T5z 15 11,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,2,1,2,1,7,7,3,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Levier Alban,FRA,7,4T5z 7 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,1,1,2,1,3,3,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Megos Alexander,GER,7,3T4z 5 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,2,2,2,2,X,2,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ishimatsu Taisei,JPN,8,3T4z 6 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,1,1,X,3,1,1,4,3,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Kawamata Rei,JPN,8,4T5z 13 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,4,1,1,1,7,6,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Iarilovets Nikolai,RUS,9,2T4z 6 16,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,6,X,X,5,5,X,4,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Peharc Anze,SLO,9,3T5z 7 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,1,3,2,X,2,2,2,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Inoue Yuji,JPN,10,2T3z 5 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,2,X,X,2,2,3,3,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ondra Adam,CZE,10,3T5z 8 12,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,5,1,1,5,4,2,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Pan YuFei,CHN,11,3T5z 9 16,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,2,1,4,2,3,1,X,7,X,5,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Reuser Tim,NED,11,1T5z 4 15,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,4,4,4,X,5,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Flohé Yannick,GER,12,3T5z 12 13,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,4,1,X,1,X,4,6,6,2,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Vezonik Gregor,SLO,12,1T5z 4 16,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,2,4,4,X,3,X,6,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Lehmann Sascha,SUI,13,3T5z 16 18,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,5,5,5,2,X,4,6,6,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Phillips Nathan,GBR,13,1T4z 1 13,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,5,X,X,1,1,X,3,X,4,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Galla Zach,USA,14,1T4z 3 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,4,3,3,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Schubert Jakob,AUT,14,3T4z 5 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,2,1,2,2,X,X,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Baltrunas Kipras,LTU,15,1T4z 4 30,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,7,X,X,4,4,X,10,X,9,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Bosi William,GBR,15,3T4z 6 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,2,2,2,1,X,X,2,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Stranik Martin,CZE,15,3T4z 6 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,2,1,2,2,X,X,2,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Baratzadeh Gholamali,IRI,16,1T4z 5 17,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,2,X,X,5,4,X,8,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Dornauer Alfons,AUT,17,1T3z 2 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,X,2,2,X,6,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
McColl Sean,CAN,17,3T4z 7 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,2,4,2,1,1,X,X,2,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Klingler Florian,AUT,18,3T4z 9 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,3,3,5,3,1,1,X,X,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Lorenzi Simon,BEL,18,3T4z 9 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,5,4,1,1,3,3,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ridal William,GBR,18,1T3z 3 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,X,6,3,2,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Haertl Dominik,AUT,19,1T3z 5 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,X,X,X,5,2,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ghisolfi Stefano,ITA,20,3T3z 9 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,5,4,3,1,X,X,1,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Granja Carlos,ECU,20,1T3z 6 12,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,4,X,X,X,X,6,6,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Ruana Rudolph,USA,21,2T4z 3 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,2,2,X,3,1,1,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Topishko Sergii,UKR,21,1T2z 2 3,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,X,X,X,X,X,2,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Piccolruaz Michael,ITA,22,1T2z 2 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,X,X,X,3,2,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Samoilov Fedir,UKR,22,2T4z 6 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,4,2,2,1,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Blaser Benjamin,SUI,23,1T2z 2 9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,2,1,X,X,X,8,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Schröter Thilo Jeldrik,NOR,23,2T3z 2 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,1,1,1,1,X,X,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Franckaert Lukas,BEL,24,1T5z 7 25,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,5,X,6,X,4,7,7,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Sharafutdinov Dmitrii,RUS,24,1T2z 3 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,3,1,X,6,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Goodacre Joe,USA,25,1T4z 5 11,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,5,X,X,5,4,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Luzhetskii Sergei,RUS,25,1T1z 3 3,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,3,3,X,X,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Sudar Zan,SLO,26,0T4z 0 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,1,X,X,X,3,X,5,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Serlachius Rolf Fredrik,SWE,26,1T4z 7 18,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,4,X,3,X,X,7,7,X,4,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Posch Jan-Luca,AUT,27,0T3z 0 11,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,5,X,X,X,X,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Roji Fatchur,IDN,27,1T4z 8 20,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,5,8,8,X,4,X,X,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Shemla Yuval,ISR,27,0T3z 0 11,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,6,X,1,X,X,X,4,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Skorodumov Sergei,RUS,27,0T3z 0 11,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,X,X,3,X,X,X,5,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Bonder Jeremy,FRA,28,1T3z 1 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,4,1,1,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Marcus Nimrod,ISR,29,1T3z 2 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,2,2,X,1,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Vettorata Francesco,ITA,29,1T3z 2 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,2,1,X,2,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Dohi Keita,JPN,30,0T3z 0 12,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,2,X,X,X,X,X,2,X,8,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Collin Nicolas,BEL,31,1T3z 3 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,X,3,2,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Heiniger Kevin,SUI,31,0T2z 0 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,2,X,X,X,X,X,X,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Marschner Kim,GER,31,0T2z 0 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,2,X,X,X,X,X,2,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Favre Nils,SUI,32,1T2z 2 4,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,2,X,X,2,2,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Fossali Ludovico,ITA,33,0T2z 0 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,4,X,X,X,X,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Martin Philipp,GER,33,1T2z 4 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,4,4,X,X,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Pope James,GBR,33,0T2z 0 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,X,X,X,X,4,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Skofic Domen,SLO,33,0T2z 0 5,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,X,X,4,X,X,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
HO Cheuk-hei,HKG,34,1T2z 7 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,7,3,X,X,X,X,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Levin Josh,USA,35,0T4z 0 12,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,1,X,X,X,6,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Bombardi Marcello,ITA,36,0T2z 0 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,4,X,X,X,X,X,X,X,6,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Grosso Cesar,BRA,36,0T3z 0 7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,3,X,X,X,X,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Novitskiy Yury,RUS,36,0T2z 0 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,3,X,X,X,X,X,X,X,7,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Brosler John,USA,37,0T3z 0 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,4,X,2,X,X,X,X,X,2,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Mitin Konstantin,RUS,37,0T3z 0 8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,1,X,6,X,X,X,X,X,1,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Parma Georg,AUT,38,0T1z 0 1,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,X,X,X,1,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Avezou Sam,FRA,39,0T3z 0 10,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,2,X,X,X,5,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Elfenbein Theis Lindegren,DEN,39,0T1z 0 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,X,X,X,X,6,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Kliuzhau Aliaksandr,BLR,39,0T1z 0 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,6,X,X,X,X,X,X,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Logunov Nikita,BLR,39,0T1z 0 6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,6,X,X,X,X,X,X,X,X,2019-04-12_Moscow_Boulder_Men_Qualification.csv
Michurov Nikolai,RUS,40,0T3z 0 14,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",1113,2019,Moscow,Boulder,Men,Qualification,2019-04-12,/api/v1/category_rounds/5462/results,/api/v1/events/1113/result/3,X,X,X,4,X,X,X,7,X,3,2019-04-12_Moscow_Boulder_Men_Qualification.csv
