name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Chon Jongwon,KOR,1,5T5z 7 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,1,1,1,1,1,2,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Harada Kai,JPN,1,5T5z 5 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,1,1,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Narasaki Meichi,JPN,1,5T5z 5 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,1,1,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ondra Adam,CZE,2,5T5z 7 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,2,1,2,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Levier Alban,FRA,3,5T5z 8 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,2,1,1,1,1,2,1,2,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,3,5T5z 8 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,2,2,1,1,2,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,3,5T5z 7 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,2,2,1,1,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Schubert Jakob,AUT,3,5T5z 8 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,1,1,4,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Hojer Jan,GER,4,5T5z 8 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,1,1,4,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,5,5T5z 8 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,1,2,2,1,1,1,1,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Pan YuFei,CHN,6,5T5z 10 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,3,2,1,1,2,1,3,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Peharc Anze,SLO,6,5T5z 9 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,3,3,2,1,2,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,6,5T5z 10 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,1,1,3,1,3,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ogata Yoshiyuki,JPN,7,5T5z 10 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,4,1,2,1,1,1,1,1,2,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Coleman Nathaniel,USA,8,5T5z 13 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,3,2,1,1,2,1,5,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Skorodumov Sergei,RUS,8,4T5z 5 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,1,1,1,1,1,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Dohi Keita,JPN,9,4T5z 6 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,2,2,X,3,2,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Timonov Vadim,RUS,9,4T5z 4 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,1,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,10,4T5z 6 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,1,1,2,1,X,5,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Vezonik Gregor,SLO,10,4T5z 4 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,1,1,X,2,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Flohé Yannick,GER,11,4T5z 7 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,4,1,1,1,1,1,X,1,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Parma Georg,AUT,11,4T5z 6 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,3,3,1,1,X,4,1,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ishimatsu Taisei,JPN,12,4T5z 8 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,1,1,1,1,1,3,2,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Khazanov Alex,ISR,12,4T5z 7 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,4,2,1,1,1,1,1,1,X,7,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Klingler Florian,AUT,13,4T5z 8 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,5,5,1,1,1,1,1,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Phillips Nathan,GBR,13,4T5z 8 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,2,2,2,2,2,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Piccolruaz Michael,ITA,13,4T5z 8 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,2,2,2,2,2,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Lorenzi Simon,BEL,14,4T5z 10 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,2,2,1,1,X,1,5,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Bosi William,GBR,15,4T5z 11 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,1,1,1,1,X,1,7,4,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Iarilovets Nikolai,RUS,15,4T5z 10 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,2,2,2,2,1,1,5,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Collin Nicolas,BEL,16,4T5z 13 14,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,4,4,4,2,2,2,3,1,X,5,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Megos Alexander,GER,16,4T5z 11 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,1,1,1,X,1,7,7,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Luzhetskii Sergei,RUS,17,4T4z 9 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,2,1,1,X,X,1,1,4,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ruana Rudolph,USA,17,4T5z 14 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,2,2,2,3,1,8,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Cornu Manuel,FRA,18,4T4z 10 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,3,1,5,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
