name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Garnbret Janja,SLO,1,5T5z 6 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,1,1,1,1,1,1,2,2,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Klingler Petra,SUI,1,4T5z 5 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,2,1,1,1,1,1,X,5,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Ito Futaba,JPN,2,4T5z 11 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,1,3,3,2,2,5,5,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Lee Hung Ying,TPE,2,4T5z 7 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,2,X,3,2,2,2,2,1,1,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,3,4T5z 7 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,1,1,2,2,3,3,X,4,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Pilz Jessica,AUT,3,4T4z 6 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,3,1,1,1,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Mori Ai,JPN,4,4T5z 14 20,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,6,2,2,10,10,1,1,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Zhang YueTong,CHN,4,3T4z 3 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,5,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kadic Katja,SLO,5,3T5z 4 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,1,2,2,1,1,X,2,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Nakamura Mao,JPN,5,3T4z 4 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,1,X,3,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Rekabi Elnaz,IRI,5,3T4z 4 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,1,X,3,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Nonaka Miho,JPN,6,3T4z 5 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,3,3,X,2,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Meignan Naile,FRA,7,3T4z 6 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,2,1,1,1,1,4,2,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Rakovec Lucka,SLO,7,3T4z 4 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,3,1,1,2,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Chanourdie Julia,FRA,8,3T4z 5 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,1,1,1,3,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Cohaut Flavy,FRA,8,3T4z 7 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,5,3,X,3,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Yip Alannah,CAN,8,3T4z 7 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,5,5,X,1,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Sa Sol,KOR,9,3T4z 5 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,2,1,2,2,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Gibert Fanny,FRA,10,3T4z 5 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,1,X,3,1,1,2,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kazbekova Ievgeniia,UKR,10,3T4z 7 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,3,3,X,5,2,2,X,X,2,2,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Caulier Chloe,BEL,11,3T3z 3 3,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,X,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Shiraishi Ashima,USA,11,3T4z 6 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,3,2,2,3,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kim Jain,KOR,12,3T4z 15 16,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,3,3,2,2,X,X,10,10,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Lettner Sandra,AUT,12,3T3z 4 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,2,X,X,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Hönig Afra,GER,13,2T4z 2 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,6,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Meshkova Viktoriia,RUS,13,2T5z 2 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,1,1,X,1,1,1,X,3,X,2,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Aguado Valentina,ARG,14,2T4z 4 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,2,3,3,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Phillips Emily,GBR,14,2T4z 3 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,2,1,1,2,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Jaubert Anouck,FRA,15,2T4z 3 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,4,X,5,2,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Johnson Alex,USA,15,2T4z 5 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,3,X,1,1,1,4,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Bestvater Alma,GER,16,2T4z 5 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,5,X,4,2,2,3,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Condie Kyra,USA,16,2T4z 5 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,4,X,4,2,2,3,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Mackenzie Oceania,AUS,17,2T3z 2 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,2,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Rogora Laura,ITA,17,2T4z 7 17,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,2,1,X,2,5,5,X,9,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kopf Sienna,USA,18,2T3z 4 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,3,3,1,1,X,6,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Stöckler Laura,AUT,18,2T3z 2 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,5,1,1,1,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Panteleeva Iuliia,RUS,19,2T3z 5 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,3,2,X,X,2,2,X,8,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Zijlstra Vera,NED,19,2T2z 4 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,2,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Hayes Margo,USA,20,2T3z 7 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,3,4,2,3,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Vest Allison,CAN,20,1T4z 1 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,3,X,4,1,1,X,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Hily Manon,FRA,21,2T2z 4 3,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,2,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Krasovskaia Elena,RUS,21,1T4z 2 16,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,5,2,2,X,2,X,7,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
JIANG Rong,CHN,22,1T3z 3 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,X,3,3,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
SONG YiLing,CHN,22,1T3z 2 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,4,2,2,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
