name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Ogata Yoshiyuki,JPN,1,4T5z 12 17,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,6,6,1,1,3,2,X,6,2,2
Peharc Anze,SLO,1,4T5z 6 11,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,1,1,1,1,3,3,X,5,1,1
Hojer Jan,GER,2,4T5z 9 8,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,1,1,2,2,2,2,X,2,4,1
Vezonik Gregor,SLO,2,4T5z 15 9,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,6,1,3,1,3,3,X,1,3,3
Inoue Yuji,JPN,3,4T5z 15 18,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,10,10,2,2,2,2,X,3,1,1
Ondra Adam,CZE,3,4T5z 10 11,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,3,3,1,1,5,5,X,1,1,1
Takata Tomoaki,JPN,3,4T5z 10 11,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,4,3,1,1,1,1,X,3,4,3
Megos Alexander,GER,4,3T5z 7 6,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,4,1,X,1,2,2,X,1,1,1
Pan YuFei,CHN,5,3T5z 9 15,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,X,4,1,1,2,2,X,2,6,6
Rubtsov  Aleksei,RUS,5,4T4z 8 7,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,2,1,1,1,4,4,X,X,1,1
Chon Jongwon,KOR,6,4T4z 13 12,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,1,1,3,3,5,5,X,X,4,3
Kruder Jernej,SLO,6,3T4z 3 4,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,X,1,1,1,1,1,X,X,1,1
Phillips Nathan,GBR,7,3T4z 4 9,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,1,1,2,2,X,5,X,X,1,1
Schubert Jakob,AUT,7,3T4z 6 4,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,4,1,1,1,1,1,X,1,X,X
Ishimatsu Taisei,JPN,8,3T4z 10 10,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,4,4,1,1,5,4,X,1,X,X
Uznik Nicolai,AUT,8,3T4z 5 7,IFSC Climbing Worldcup (B) - Munich (GER) 2019,1116,2019,Munich,Boulder,Men,Qualification,2019-05-18,/api/v1/category_rounds/5490/results,/api/v1/events/1116/result/3,2,2,1,1,X,X,X,2,2,2
