name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Ogata Yoshiyuki,JPN,1,5T5z 6 5,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,1,1,2,1,1,1,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Ondra Adam,CZE,1,5T5z 9 9,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,2,1,1,1,1,4,4,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Harada Kai,JPN,2,5T5z 10 9,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,1,1,3,2,4,4,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Narasaki Meichi,JPN,2,5T5z 13 7,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,3,1,2,2,5,1,2,2,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Dohi Keita,JPN,3,5T5z 12 9,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,2,2,4,1,4,4,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,3,5T5z 13 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,2,3,2,2,1,4,4,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Coleman Nathaniel,USA,4,4T5z 6 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,1,1,X,2,3,3,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Ishimatsu Taisei,JPN,4,4T5z 11 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,1,1,1,X,1,5,5,3,3,2019-06-07_Vail_Boulder_Men_Qualification.csv
Flohé Yannick,GER,5,4T5z 8 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,2,1,1,X,1,3,2,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Kawamata Rei,JPN,5,4T5z 11 15,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,4,1,1,7,7,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Bailey Sean,USA,6,4T4z 4 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,1,1,1,1,X,X,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Fultz Matt,USA,6,4T5z 8 9,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,1,1,X,1,5,5,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Chon Jongwon,KOR,7,4T5z 9 10,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,2,2,X,1,5,5,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,7,4T4z 11 10,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,2,1,6,6,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
McQueen Sam,USA,8,4T5z 10 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,2,2,X,1,5,5,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,8,3T5z 5 18,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,3,3,X,1,X,12,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Hojer Jan,GER,9,3T4z 5 5,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,2,X,X,X,1,2,1,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Megos Alexander,GER,9,4T4z 13 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,4,2,7,7,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
McColl Sean,CAN,10,3T4z 8 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,1,X,X,X,1,5,5,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Ternant Arthur,FRA,10,3T5z 7 7,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,4,1,X,1,X,2,2,2,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Avezou Leo,FRA,11,3T4z 10 12,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,2,X,X,1,1,7,7,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,11,3T4z 4 5,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,1,2,2,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Dornauer Alfons,AUT,12,3T4z 7 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,1,4,4,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Linacisoro Molina Mikel Asier,ESP,12,3T4z 14 12,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,5,3,X,X,X,2,5,4,4,3,2019-06-07_Vail_Boulder_Men_Qualification.csv
Roberts Aidan,GBR,13,3T3z 3 3,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,1,1,X,X,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Ruana Rudolph,USA,13,3T3z 5 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,2,1,X,X,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Lorenzi Simon,BEL,14,2T4z 8 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,1,X,X,X,1,5,5,3,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,14,3T3z 4 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,1,1,X,X,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Collin Nicolas,BEL,15,2T4z 2 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,1,X,8,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Posch Jan-Luca,AUT,15,2T4z 8 14,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,3,1,X,X,X,5,X,4,5,4,2019-06-07_Vail_Boulder_Men_Qualification.csv
Mawem Mickael,FRA,16,2T4z 2 14,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,3,X,9,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Waller Zander,USA,16,2T4z 11 13,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,5,4,X,X,X,1,6,6,X,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Piccolruaz Michael,ITA,17,2T3z 3 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,1,X,X,2,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Vezonik Gregor,SLO,17,2T3z 2 3,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,1,1,X,X,X,1,X,X,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Khazanov Alex,ISR,18,2T3z 3 5,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,2,2,X,X,X,2,X,X,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Uchida Lucas,CAN,18,2T3z 4 3,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,3,1,X,X,X,1,X,X,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
