name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Ondra Adam,CZE,1,Top 1. | Top 1. [2.24],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,Top,Top
Megos Alexander,GER,2,40+ 2. | Top 1. [3.16],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,40+,Top
Desgranges Romain,FRA,3,34+ 3. | Top 1. [3.87],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,34+,Top
Harada Kai,JPN,4,32+ 4. | Top 1. [5.00],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,32+,Top
Schubert Jakob,AUT,4,32+ 4. | Top 1. [5.00],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,32+,Top
Ghisolfi Stefano,ITA,6,32+ 4. | 41+ 12. [8.06],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,32+,41+
Stranik Martin,CZE,7,30+ 7. | 41+ 12. [9.54],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,30+,41+
Skofic Domen,SLO,8,28+ 8. | 38 20. [13.91],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,28+,38
Flohé Yannick,GER,9,27+ 12. | 38+ 18. [15.80],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,27+,38+
Fujii Kokoro,JPN,10,20+ 39. | Top 1. [17.03],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,20+,Top
