name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
MUHAMMAD FAJRI ALFIAN,,1,5.76,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,5.854,True,6.037,True,5.69,True,5.764,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Zhong QiXin,,2,6.38,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,5.986,True,5.84,True,5.698,False,6.382,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Deulin Vladislav,,3,6.05,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,6.402,True,WILDCARD,False,5.799,,,True,6.057,2019-07-11_Chamonix_Speed_Men_Final.csv
Boldyrev Danyil,,4,FALL,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,5.857,True,WILDCARD,False,5.848,,,False,FALL,2019-07-11_Chamonix_Speed_Men_Final.csv
Dzienski Marcin,,5,6.36,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,6.087,False,6.362,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Rukin Sergei,,6,7.44,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,5.835,False,7.448,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Mawem Bassa,,7,FALSE START,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,5.947,False,FALSE START,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Brosler John,,8,FALSE START,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,True,6.096,False,FALSE START,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
ASPAR ASPAR,,9,5.87,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,5.878,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Lee Seungbeom,,10,5.94,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,5.943,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Pavlenko Kostiantyn,,11,5.99,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,5.993,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Kokorin Stanislav,,12,6.18,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,6.18,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
CAO Long,,13,7.40,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,7.407,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Shikov Aleksandr,,14,7.49,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,7.494,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Shilov Aleksandr,,15,7.89,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,7.899,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
Timofeev Dmitrii,,16,FALL,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Speed,Men,Final,2019-07-11,/api/v1/category_rounds/5518/results,/api/v1/events/1119/result/2,False,FALL,,,,,,,,,2019-07-11_Chamonix_Speed_Men_Final.csv
