name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Ondra Adam,CZE,1,3T4z 11 7,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,5,3,5,2,1,1,X,1,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Narasaki Tomoa,JPN,2,2T4z 2 4,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,1,1,1,1,1,X,1,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Fujii Kokoro,JPN,3,2T4z 5 6,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,4,1,X,2,1,1,X,2,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Dohi Keita,JPN,4,2T4z 5 10,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,6,2,1,3,2,X,1,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Flohé Yannick,GER,5,2T4z 13 16,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,3,6,5,X,2,7,6,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,6,1T4z 3 12,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,3,X,7,X,1,3,1,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Sugimoto Rei,JPN,7,1T4z 5 9,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,4,5,1,X,2,X,2,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Ruana Rudolph,USA,8,1T4z 5 20,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,9,5,4,X,3,X,4,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Harada Kai,JPN,9,1T3z 1 5,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,2,X,X,1,1,X,2,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,10,1T3z 1 10,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,3,X,X,1,1,X,6,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,11,0T4z 0 10,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,1,X,1,X,1,X,7,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Chon Jongwon,KOR,12,0T3z 0 6,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,4,X,1,X,1,X,X,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Narasaki Meichi,JPN,13,0T3z 0 7,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,1,X,X,X,1,X,5,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,14,0T3z 0 8,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,X,X,3,X,1,X,4,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
Ogata Yoshiyuki,JPN,14,0T3z 0 8,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Boulder,Men,Semi-Final,2019-08-11,/api/v1/category_rounds/5539/results,/api/v1/events/1121/result/3,X,4,X,2,X,2,X,X,2019-08-11_Hachioji_Boulder_Men_Semi-Final.csv
