name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Garnbret Janja,SLO,1,38+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,38+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Lukan Vita,SLO,2,35,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,35,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Mori Ai,JPN,3,34+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,34+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Krampl Mia,SLO,4,34,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,34,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Seo Chaehyun,KOR,5,32,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,32,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Noguchi Akiyo,JPN,6,32,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,32,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Pilz Jessica,AUT,7,30+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,30+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Chanourdie Julia,FRA,8,30+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,30+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Rakovec Lucka,SLO,9,30+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,30+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Verhoeven Anak,BEL,10,30,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,30,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Kotake Mei,JPN,11,29+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,29+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Kalan Tjasa,SLO,12,29,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,29,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Hafsaas Tina Johnsen,NOR,13,29,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,29,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Ito Futaba,JPN,14,28+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,28+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Raboutou Brooke,USA,15,28+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,28+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Kazbekova Ievgeniia,UKR,16,27,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,27,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Contreras Alejandra,CHI,17,24+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,24+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Coxsey Shauna,GBR,17,24+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,24+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Thompson-Smith Molly,GBR,19,24,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,24,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Rogora Laura,ITA,20,24,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,24,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Lettner Sandra,AUT,21,24,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,24,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Kim Jain,KOR,22,22+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,22+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Rekabi Elnaz,IRI,23,16+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,16+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
Zhang YueTong,CHN,24,14+,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Lead,Women,Semi-Final,2019-08-11,/api/v1/category_rounds/5526/results,/api/v1/events/1121/result/5,14+,2019-08-11_Hachioji_Lead_Women_Semi-Final.csv
