name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Timofeev Dmitrii,RUS,1,5.542,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Deulin Vladislav,RUS,2,5.647,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Mawem Bassa,FRA,3,5.730,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Alipourshenazandifar Reza,IRI,4,5.757,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
CAO Long,CHN,5,5.790,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Boldyrev Danyil,UKR,6,5.889,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Maimuratov Amir,KAZ,7,5.937,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Rukin Sergei,RUS,8,5.959,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Pavlenko Kostiantyn,UKR,9,5.966,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Fossali Ludovico,ITA,10,5.970,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Ou ZhiYong,CHN,11,6.011,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Kriz Jan,CZE,12,6.030,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Brosler John,USA,13,6.051,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Khaibullin Rishat,KAZ,14,6.051,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Zhong QiXin,CHN,15,6.086,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Kokorin Stanislav,RUS,16,6.088,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
AliPourShenazandi Mehdi,IRI,17,6.115,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Zodda Gian Luca,ITA,18,6.133,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Dzienski Marcin,POL,19,6.165,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Granja Carlos,ECU,20,6.209,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Mawem Mickael,FRA,21,6.280,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Narasaki Tomoa,JPN,22,6.292,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
BianBa ZhaXi,CHN,23,6.351,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Shikov Aleksandr,RUS,24,6.351,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Goodacre Joe,USA,25,6.416,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Iarilovets Nikolai,RUS,26,6.458,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Chan Cheung-chi Shoji,HKG,27,6.487,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Valencia Danny,ECU,28,6.628,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Fujii Kokoro,JPN,29,6.640,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Piccolruaz Michael,ITA,30,6.827,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Pan YuFei,CHN,31,6.828,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Harada Kai,JPN,32,6.887,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Chon Jongwon,KOR,33,6.932,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Coleman Nathaniel,USA,34,6.933,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Hojer Jan,GER,35,6.943,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Adarsh  Singh,IND,36,6.984,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
McColl Sean,CAN,37,6.997,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Narasaki Meichi,JPN,38,7.042,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Dohi Keita,JPN,39,7.123,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
Bosi William,GBR,40,7.309,IFSC Climbing World Championships - Hachioji (JPN) 2019,1121,2019,Hachioji,Speed,Men,Qualification,2019-08-11,/api/v1/category_rounds/5541/results,/api/v1/events/1121/result/2,2019-08-11_Hachioji_Speed_Men_Qualification.csv
