name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Garnbret Janja,SLO,1,Top 1. | Top 1. [5.36],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,Top,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Mori Ai,JPN,1,Top 1. | Top 1. [5.36],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,Top,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Rakovec Lucka,SLO,1,Top 1. | Top 1. [5.36],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,Top,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Seo Chaehyun,KOR,1,Top 1. | Top 1. [5.36],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,Top,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Fiser Julia,AUT,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Hirano Natsumi,JPN,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Kazbekova Ievgeniia,UKR,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Kim Jain,KOR,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Kim Lan,KOR,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Krampl Mia,SLO,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Noguchi Akiyo,JPN,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Rogora Laura,ITA,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Romain Salomé,FRA,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Schranz Christine,AUT,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Tajima Aika,JPN,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Tanii Natsuki,JPN,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Thompson-Smith Molly,GBR,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Zhang YueTong,CHN,5,35+ 5. | Top 1. [12.69],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Hiroshige Yuki,JPN,19,34 24. | Top 1. [16.61],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,34,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Krasovskaia Elena,RUS,20,30+ 26. | Top 1. [17.46],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,30+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Rekabi Elnaz,IRI,21,28+ 28. | Top 1. [18.10],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,28+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Chanourdie Julia,FRA,22,35+ 5. | 42+ 23. [18.33],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,42+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Hayes Margo,USA,22,35+ 5. | 42+ 23. [18.33],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,42+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Shiraishi Ashima,USA,22,35+ 5. | 42+ 23. [18.33],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,42+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Potapova Nika,UKR,25,27+ 30. | Top 1. [19.03],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,27+,Top,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Doumont Heloïse,BEL,26,35+ 5. | 22+ 33. [22.29],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Kotake Mei,JPN,26,35+ 5. | 22+ 33. [22.29],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,35+,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Lettner Sandra,AUT,28,33+ 25. | 35+ 29. [26.93],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,33+,35+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Gibert Fanny,FRA,29,28+ 28. | 36+ 27. [28.00],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,28+,36+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Hafsaas Tina Johnsen,NOR,30,27+ 30. | 41 26. [28.62],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,27+,41,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Meshkova Viktoriia,RUS,31,30+ 26. | 22+ 33. [30.67],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,30+,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
