name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Fakirianov Dmitrii,RUS,1.0,36+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,36+
Collin Nicolas,BEL,2.0,36+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,36+
Lehmann Sascha,SUI,3.0,35+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,35+
Puman Hannes,SWE,3.0,35+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,35+
Stranik Martin,CZE,5.0,35+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,35+
Peharc Anze,SLO,6.0,35+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,35+
Shevchenko Vladislav,RUS,7.0,35+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,35+
Marcus Nimrod,ISR,8.0,32+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,32+
Shemla Yuval,ISR,9.0,31,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,31
Khazanov Alex,ISR,10.0,30+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,30+
Chuat Dylan,SUI,11.0,29+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,29+
Bosi William,GBR,12.0,28+,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Men,Semi-Final,2020-11-21,/api/v1/category_rounds/6218/results,/api/v1/events/1166/result/1,28+
