name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Barashchuk Ekaterina,RUS,1,7.37,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,8.071,True,7.562,True,9.067,True,7.375,,
Ivanova Elizaveta,RUS,2,7.44,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,8.071,True,7.676,True,7.939,False,7.447,,
Kaplina Iuliia,RUS,3,7.05,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,7.442,True,7.07,False,FALL,,,True,7.055
Kalucka Aleksandra,POL,4,8.30,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,8.194,True,7.959,False,FALL,,,False,8.301
Kalucka Natalia,POL,5,7.82,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,FALL,False,7.823,,,,,,
Chudziak Patrycja,POL,6,7.87,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,8.848,False,7.872,,,,,,
Klingler Petra,SUI,7,8.59,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,8.598,False,8.594,,,,,,
Miroslaw Aleksandra,POL,8,FALL,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,True,7.621,False,FALL,,,,,,
Brozek Anna,POL,9,7.95,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,7.958,,,,,,,,
Tsyganova Anna,RUS,10,8.95,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,8.957,,,,,,,,
Gejo Stasa,SRB,11,9.40,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,9.407,,,,,,,,
Krasovskaia Elena,RUS,12,9.43,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,9.431,,,,,,,,
Hönig Afra,GER,13,10.03,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,10.038,,,,,,,,
Caulier Chloe,BEL,14,10.17,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,10.171,,,,,,,,
Lavrykova Yelyzaveta,UKR,15,FALL,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,FALL,,,,,,,,
Meshkova Viktoriia,RUS,16,FALL,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Speed,Women,Final,2020-11-21,/api/v1/category_rounds/6221/results,/api/v1/events/1166/result/6,False,FALL,,,,,,,,
