name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
FUJII Kokoro,JPN,1,3T4z 16 18,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,4,11,11,1,1,4,2
ONDRA Adam,CZE,2,2T3z 7 8,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,6,6,X,1,1,1
VEZONIK Gregor,SLO,3,1T3z 2 5,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,2,2,X,2,X,1
SCHUBERT Jakob,AUT,4,1T3z 3 6,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,3,3,X,1,X,2
PEHARC Anze,SLO,5,1T3z 4 7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,4,4,X,2,X,1
SCHALCK Mejdi,FRA,6,1T3z 12 18,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,12,12,X,3,X,3
LORENZI Simon,BEL,7,1T2z 3 5,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,3,3,X,X,X,2
BAILEY Sean,USA,8,1T2z 5 7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,5,5,X,X,X,2
MEGOS Alexander,GER,9,1T2z 9 9,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,X,9,8,X,X,X,1
MAWEM Mickael,FRA,10,0T4z 0 8,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3,X,1,X,5,X,1,X,1
