name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
FUJII Kokoro,JPN,1.0,5T5z 7 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,2,2,1,1,1,1,1,1,2,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
NARASAKI Tomoa,JPN,2.0,5T5z 8 6,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,1,1,1,1,1,1,4,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
PEHARC Anze,SLO,3.0,5T5z 9 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,3,1,2,2,2,2,1,1,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
UZNIK Nicolai,AUT,4.0,5T5z 12 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,2,2,3,2,1,1,3,3,3,1,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
AMAGASA Sohta,JPN,5.0,5T5z 13 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,2,1,4,1,2,2,4,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
LORENZI Simon,BEL,6.0,4T5z 5 6,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,1,1,1,1,1,2,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
WATERHOUSE Alex,GBR,7.0,4T5z 6 13,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,1,1,2,2,2,1,X,8,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
SCHALCK Mejdi,FRA,8.0,4T5z 8 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,1,1,1,3,2,3,3,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
COLLIN Nicolas,BEL,8.0,4T5z 8 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,2,1,X,1,1,1,1,1,4,4,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
MEGOS Alexander,GER,10.0,4T5z 8 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,4,X,1,2,2,1,1,1,1,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
