name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Garnbret Janja,SLO,1,4T4z 9 4,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,4,1,1,1,1,1,3,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Ito Futaba,JPN,2,3T4z 4 5,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,1,1,1,1,2,2,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Nonaka Miho,JPN,2,3T4z 4 5,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,1,1,1,1,2,2,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Grossman Natalia,USA,4,3T4z 5 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,3,3,1,1,1,1,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Noguchi Akiyo,JPN,5,3T4z 11 10,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,4,3,1,1,6,5,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Gejo Stasa,SRB,6,2T4z 4 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,1,2,1,2,2,X,3,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Färber Johanna,AUT,7,2T4z 6 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,3,1,3,1,X,4,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Raboutou Brooke,USA,8,2T3z 4 5,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,3,3,1,1,X,X,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Rogora Laura,ITA,9,2T3z 6 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,5,5,1,1,X,X,X,5,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Nakamura Mao,JPN,10,2T3z 7 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,6,2,1,1,X,X,X,3,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Klingler Petra,SUI,11,1T4z 1 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,1,1,1,X,5,X,4,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Debevec Katja,SLO,12,1T4z 1 15,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,5,1,1,X,5,X,4,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Sterrer Franziska,AUT,13,1T4z 5 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,2,X,1,5,3,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Kümin Andrea,SUI,14,1T3z 1 3,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,1,1,1,X,X,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Caulier Chloe,BEL,15,1T3z 2 9,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,5,2,1,X,X,X,3,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Bertone Oriane,FRA,16,0T4z 0 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,1,X,3,X,1,X,2,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Cullen Kylie,USA,17,0T3z 0 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,2,X,2,X,2,X,X,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Lettner Sandra,AUT,18,0T3z 0 10,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,4,X,2,X,X,X,4,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Chanourdie Julia,FRA,19,0T3z 0 19,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,6,X,5,X,X,X,8,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
Kura Nanako,JPN,20,0T2z 0 3,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Women,Semi-Final,2021-06-23,/api/v1/category_rounds/6599/results,/api/v1/events/1193/result/7,X,2,X,X,X,X,X,1,2021-06-23_Innsbruck_Boulder_Women_Semi-Final.csv
