name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Kotake Mei,JPN,1,3.0,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,TOP,TOP,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Rogora Laura,ITA,1,3.0,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,TOP,TOP,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Seo Chaehyun,KOR,1,3.0,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,TOP,TOP,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Fakhritdinova Dinara,RUS,4,4.58,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,34+,TOP,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Garnbret Janja,SLO,5,5.34,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,TOP,43+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Krampl Mia,SLO,5,5.34,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,TOP,43+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Grossman Natalia,USA,7,6.0,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29+,TOP,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Lukan Vita,SLO,8,8.15,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,34+,43+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
ABE Momoko,JPN,9,10.25,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,34+,41+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Rakovec Lucka,SLO,10,10.42,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29,44,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Thompson-Smith Molly,GBR,11,10.68,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29+,43+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Meul Hannah,GER,12,12.25,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29+,42+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Pilz Jessica,AUT,13,12.37,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,33+,41,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Romain Salomé,FRA,14,12.49,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,24,44+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
NAKAGAWA Ryu,JPN,15,12.96,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29+,42,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Skusek Lana,SLO,16,16.01,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,25+,42+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Copar Sara,SLO,17,18.47,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29,39,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Arc Nolwenn,FRA,18,18.67,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,25+,41,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
TAKAO Tomona,JPN,18,18.67,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,25+,41,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
