name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Narasaki Tomoa,JPN,1,3T3z 7 5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,3,1,2,2,X,X,2,2
Cornu Manuel,FRA,2,3T3z 8 5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,1,1,4,1,X,X,3,3
Fujii Kokoro,JPN,3,2T4z 3 12,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,2,1,1,1,X,3,X,7
Marcus Nimrod,ISR,4,2T3z 3 5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,1,1,2,2,X,X,X,2
Peharc Anze,SLO,5,2T3z 7 7,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,2,1,X,1,X,X,5,5
Rubtsov Aleksey,CFR,6,2T3z 9 6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,4,1,X,X,5,4
McArthur Hamish,GBR,7,2T3z 12 11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,3,1,X,1,X,X,9,9
Ogata Yoshiyuki,JPN,8,1T4z 1 14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,1,1,X,4,X,1,X,8
Lovenjak Sudar Zan,SLO,9,1T4z 2 14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,2,1,X,2,X,3,X,8
Takata Tomoaki,JPN,10,1T4z 4 14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,2,X,4,X,4,4,4
Mawem Mickael,FRA,11,1T3z 2 6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,2,2,1,X,X,X,3
Lee Minyoung,KOR,12,1T3z 4 9,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,4,X,2,X,X,4,3
Schalck Mejdi,FRA,13,1T3z 4 14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,4,1,X,10,X,X,X,3
Ridal William,GBR,14,1T2z 4 5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,X,X,1,X,X,4,4
Flohé Yannick,GER,15,0T4z 0 14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,X,6,X,4,X,3
Vezonik Gregor,SLO,16,0T3z 0 4,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,X,1,X,X,X,2
Ternant Mathieu,FRA,17,0T3z 0 8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,X,1,X,X,X,6
Piccolruaz Michael,ITA,18,0T2z 0 3,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,X,2,X,X,X,X
Phillips Nathan,GBR,18,0T2z 0 3,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Boulder,Men,Semi-Final,2021-09-16,/api/v1/category_rounds/6773/results,/api/v1/events/1185/result/3,X,1,X,2,X,X,X,X
