name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Narasaki Tomoa,JPN,1.0,2.55,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,37+,36+,2021-09-16_Moscow_Lead_Men_Qualification.csv
McArthur Hamish,GBR,2.0,3.32,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,38+,33+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Fujii Kokoro,JPN,3.0,4.36,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,TOP,28,2021-09-16_Moscow_Lead_Men_Qualification.csv
Schubert Jakob,AUT,4.0,4.69,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,38,33+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Ogata Yoshiyuki,JPN,5.0,4.87,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36+,35,2021-09-16_Moscow_Lead_Men_Qualification.csv
Min Hyunbin,KOR,6.0,5.29,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,38,31,2021-09-16_Moscow_Lead_Men_Qualification.csv
Lehmann Sascha,SUI,7.0,6.16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36+,34+,2021-09-16_Moscow_Lead_Men_Qualification.csv
YOSHIDA Satone,JPN,8.0,7.16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,34+,35,2021-09-16_Moscow_Lead_Men_Qualification.csv
Flohé Yannick,GER,9.0,7.35,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,38,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Potocar Luka,SLO,10.0,9.25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36+,29+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Halenke Sebastian,GER,11.0,10.39,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36,30,2021-09-16_Moscow_Lead_Men_Qualification.csv
Shevchenko Vladislav,CFR,12.0,11.11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,37+,28,2021-09-16_Moscow_Lead_Men_Qualification.csv
Stranik Martin,CZE,13.0,13.44,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36+,28,2021-09-16_Moscow_Lead_Men_Qualification.csv
Samoilov Fedir,UKR,14.0,13.5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Verhoeven Jorg,NED,15.0,14.92,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,35+,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Skofic Domen,SLO,16.0,16.64,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,34+,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Bombardi Marcello,ITA,17.0,18.19,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,33+,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Posch Mathias,AUT,17.0,18.19,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,33+,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Ghisolfi Stefano,ITA,19.0,19.79,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,36,26,2021-09-16_Moscow_Lead_Men_Qualification.csv
Takata Tomoaki,JPN,20.0,22.05,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,27+,28+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Bosi William,GBR,21.0,22.86,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,34+,26+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Collin Nicolas,BEL,21.0,22.86,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,34+,26+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Schenk Filip,ITA,23.0,23.33,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,35+,24+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Bergant Martin,SLO,24.0,25.75,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,32+,26+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Ridal William,GBR,25.0,26.24,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,30+,26+,2021-09-16_Moscow_Lead_Men_Qualification.csv
Martin Philipp,GER,26.0,27.5,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Lead,Men,Qualification,2021-09-16,/api/v1/category_rounds/6140/results,/api/v1/events/1185/result/1,27+,27+,2021-09-16_Moscow_Lead_Men_Qualification.csv
