name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
Dzienski Marcin,POL,1.0,5.71,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.714,5.849,2021-09-16_Moscow_Speed_Men_Qualification.csv
Timofeev Dmitrii,CFR,2.0,5.72,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.061,5.726,2021-09-16_Moscow_Speed_Men_Qualification.csv
Deulin Vladislav,CFR,3.0,5.74,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.892,5.744,2021-09-16_Moscow_Speed_Men_Qualification.csv
Brosler John,USA,4.0,5.76,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.768,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Bogomolov Arsenii,CFR,5.0,5.77,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.775,6.031,2021-09-16_Moscow_Speed_Men_Qualification.csv
Bratschi Noah,USA,6.0,5.791,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.553,5.791,2021-09-16_Moscow_Speed_Men_Qualification.csv
Alipour Shenazandifard Reza,IRI,7.0,5.797,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.797,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Boldyrev Danyil,UKR,8.0,5.80,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.807,6.586,2021-09-16_Moscow_Speed_Men_Qualification.csv
Zodda Gian Luca,ITA,9.0,5.814,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.814,5.91,2021-09-16_Moscow_Speed_Men_Qualification.csv
Noya Cardona Erik,ESP,10.0,5.817,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.898,5.817,2021-09-16_Moscow_Speed_Men_Qualification.csv
Maimuratov Amir,KAZ,11.0,5.84,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.064,5.845,2021-09-16_Moscow_Speed_Men_Qualification.csv
Moro Guillaume,FRA,12.0,5.85,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,5.977,5.857,2021-09-16_Moscow_Speed_Men_Qualification.csv
Shikov Aleksandr,CFR,13.0,5.89,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,5.895,2021-09-16_Moscow_Speed_Men_Qualification.csv
Rebreyend Pierre,FRA,14.0,5.90,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.512,5.905,2021-09-16_Moscow_Speed_Men_Qualification.csv
