name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Narasaki Tomoa,JPN,1,3T4z 10 8,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,6,4,X,1,2,1,2,2,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Fujii Kokoro,JPN,2,3T3z 5 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,2,2,2,2,X,X,1,1,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Narasaki Meichi,JPN,3,2T4z 2 9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,1,1,X,1,X,6,1,1,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Jenft Paul,FRA,4,2T4z 4 6,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,1,1,X,1,3,2,X,2,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Dohi Keita,JPN,5,2T4z 5 9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,2,2,X,2,3,3,X,2,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Ogata Yoshiyuki,JPN,6,2T4z 6 4,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,1,1,X,1,5,1,X,1,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Schalck Mejdi,FRA,7,2T3z 4 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,2,2,X,1,2,2,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Milne Maximillian,GBR,8,2T3z 4 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,3,3,X,1,1,1,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Baudrand Victor,CAN,9,2T3z 6 9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,5,1,1,5,3,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
LEE DOHYUN,KOR,10,1T4z 1 8,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,1,1,X,1,X,3,X,3,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Takata Tomoaki,JPN,11,1T4z 4 9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,4,2,X,1,X,4,X,2,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
CHON JONGWON,KOR,12,1T3z 1 7,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,X,1,1,X,5,X,1,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Vezonik Gregor,SLO,13,1T3z 2 6,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,2,1,X,2,X,3,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Uznik Nicolai,AUT,14,1T3z 2 8,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,X,2,1,X,3,X,4,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Inoue Yuji,JPN,15,1T3z 3 11,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,3,2,X,2,X,7,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Ginés López Alberto,ESP,16,1T3z 4 13,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,X,X,4,X,5,4,4,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Avezou Sam,FRA,17,1T2z 1 8,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,1,1,X,X,X,7,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
McColl Sean,CAN,18,1T2z 4 3,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,X,X,X,4,2,X,1,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
Kleesattel Max,GER,19,1T2z 4 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,4,3,X,2,X,X,X,X,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
YOSHIDA Satone,JPN,20,0T3z 0 12,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3,X,X,X,5,X,3,X,4,2022-05-06_Seoul_Boulder_Men_Semi-final.csv
