name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
Miroslaw Aleksandra,POL,1,6.64 (WR) (ER),"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,6.648,6.733,2022-05-06_Seoul_Speed_Women_Qualification.csv
MADE RITA KUSUMA DEWI DESAK,INA,2,7.15,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.152,9.038,2022-05-06_Seoul_Speed_Women_Qualification.csv
SALLSABILLAH RAJIAH,INA,3,7.26,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.261,7.305,2022-05-06_Seoul_Speed_Women_Qualification.csv
IQAMAH NURUL,INA,4,7.31,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.42,7.31,2022-05-06_Seoul_Speed_Women_Qualification.csv
Kalucka Aleksandra,POL,5,7.40,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.401,7.615,2022-05-06_Seoul_Speed_Women_Qualification.csv
Chudziak Patrycja,POL,6,7.51,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.517,7.764,2022-05-06_Seoul_Speed_Women_Qualification.csv
Ritter Franziska,GER,7,7.55,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.765,7.553,2022-05-06_Seoul_Speed_Women_Qualification.csv
Viglione Capucine,FRA,8,7.67,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.032,7.678,2022-05-06_Seoul_Speed_Women_Qualification.csv
Colli Beatrice,ITA,9,7.80,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,7.803,2022-05-06_Seoul_Speed_Women_Qualification.csv
Kalucka Natalia,POL,10,7.83,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.836,9.322,2022-05-06_Seoul_Speed_Women_Qualification.csv
Hunt Emma,USA,11,7.99,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,7.992,8.175,2022-05-06_Seoul_Speed_Women_Qualification.csv
Sarisson Aurelia,FRA,12,8.05,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,8.055,DNF,2022-05-06_Seoul_Speed_Women_Qualification.csv
JEONG JIMIN,KOR,13,8.12,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,14.677,8.126,2022-05-06_Seoul_Speed_Women_Qualification.csv
Ver Khadijah Alivany,INA,14,8.18,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.647,8.183,2022-05-06_Seoul_Speed_Women_Qualification.csv
Brockfeld Nuria,GER,15,8.20,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,8.203,2022-05-06_Seoul_Speed_Women_Qualification.csv
Gautron Lison,FRA,16,8.23,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,8.238,8.4,2022-05-06_Seoul_Speed_Women_Qualification.csv
Laborda Sagaste María,ESP,17,8.47,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,8.479,2022-05-06_Seoul_Speed_Women_Qualification.csv
KAWAKAMI Fumika,JPN,18,8.48,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,8.489,9.399,2022-05-06_Seoul_Speed_Women_Qualification.csv
TAKEUCHI Ai,JPN,19,8.62,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.214,8.62,2022-05-06_Seoul_Speed_Women_Qualification.csv
HAYASHI Karin,JPN,20,8.67,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,8.672,11.207,2022-05-06_Seoul_Speed_Women_Qualification.csv
Rojas Andrea,ECU,21,8.78,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,8.783,2022-05-06_Seoul_Speed_Women_Qualification.csv
Randi  Giulia,ITA,22,9.14,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,9.144,2022-05-06_Seoul_Speed_Women_Qualification.csv
NOH HEEJU,KOR,23,9.22,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,DNF,9.223,2022-05-06_Seoul_Speed_Women_Qualification.csv
Close Callie,USA,24,9.24,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,10.869,9.24,2022-05-06_Seoul_Speed_Women_Qualification.csv
PARK SEOYEON,KOR,25,9.30,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.307,9.501,2022-05-06_Seoul_Speed_Women_Qualification.csv
CHA YOUJIN,KOR,26,9.39,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.391,9.754,2022-05-06_Seoul_Speed_Women_Qualification.csv
SUNG HANAREUM,KOR,27,9.44,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.44,9.677,2022-05-06_Seoul_Speed_Women_Qualification.csv
Curcio Sophia,USA,28,9.45,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.675,9.458,2022-05-06_Seoul_Speed_Women_Qualification.csv
CHOI NAWOO,KOR,29,9.86,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,9.869,10.306,2022-05-06_Seoul_Speed_Women_Qualification.csv
KIM HYEBIN,KOR,30,10.06,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6,11.27,10.062,2022-05-06_Seoul_Speed_Women_Qualification.csv
