name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B
Miroslaw Aleksandra,POL,1,6.89,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,6.897,8.62
Kalucka Aleksandra,POL,2,7.24,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,7.244,7.517
Hunt Emma,USA,3,7.29,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,7.617,7.299
Sarisson Aurelia,FRA,4,7.45,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,9.155,7.455
Kalucka Natalia,POL,5,7.47,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,7.476,7.478
Chudziak Patrycja,POL,6,7.67,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,8.303,7.674
Colli Beatrice,ITA,7,7.89,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,7.898,9.621
Ritter Franziska,GER,8,7.90,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,8.165,7.909
Rojas Andrea,ECU,9,8.03,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,8.036,8.266
Viglione Capucine,FRA,10,8.07,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Speed,Women,Qualification,2022-05-20,/api/v1/category_rounds/7416/results,/api/v1/events/1236/result/6,11.317,8.077
