name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
KEREM Ayala,ISR,1,4T4z 8 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,2,1,2,2,2,2,2,2,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
RABOUTOU Brooke,USA,2,4T4z 9 6,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,6,3,1,1,1,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
NONAKA Miho,JPN,3,4T4z 10 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,3,1,2,2,4,4,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
GROSSMAN Natalia,USA,4,3T4z 5 4,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,1,1,X,1,3,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
SEO CHAEHYUN,KOR,5,3T4z 6 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,4,4,1,1,X,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
ITO Futaba,JPN,6,3T4z 8 6,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,6,3,X,1,1,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
TESIO Giorgia,ITA,7,2T4z 3 14,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,X,9,2,2,X,2,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
BERTONE Oriane,FRA,8,2T4z 5 6,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,4,1,X,1,X,3,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
TOOTHILL Holly,GBR,9,2T4z 6 10,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,1,1,5,5,X,3,X,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
KURA Nanako,JPN,10,2T3z 5 5,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,3,3,2,1,X,X,X,1,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
GEJO Stasa,SRB,11,2T3z 7 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,4,2,3,1,X,5,X,X,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
STERRER Franziska,AUT,12,1T4z 3 13,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,X,6,3,1,X,2,X,4,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
PILZ Jessica,AUT,13,1T4z 6 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-27,/api/v1/category_rounds/7455/results,/api/v1/events/1237/result/7,X,2,6,3,X,2,X,2,2022-05-27_Salt Lake City_Boulder_Women_Semi-final.csv
