name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Grossman Natalia,USA,1,5T5z 5 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,1,1,1,1,1,1,1,1
Gibert Fanny,FRA,1,5T5z 6 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,1,1,2,1,1,1,1,1
Meul Hannah,GER,3,5T5z 11 10,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,6,6,1,1,2,1,1,1
LUO ZHILU,CHN,3,5T5z 7 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,3,2,1,1,1,1,1,1
SEO CHAEHYUN,KOR,5,5T5z 7 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,1,1,1,1,1,1,3,3
Okawachi serika,JPN,5,4T5z 5 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,1,1,1,1,X,1,1,1
Gejo Stasa,SRB,7,5T5z 9 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,1,4,4,1,1,1,1
Sterrer Franziska,AUT,7,5T5z 9 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,1,1,1,1,1,4,4
Pilz Jessica,AUT,7,4T5z 6 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,2,1,1,X,2,2,1
Ito Futaba,JPN,10,4T5z 6 10,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,2,2,1,X,5,1,1
Kerem Ayala,ISR,11,4T5z 10 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,4,1,4,4,1,1,X,1,1,1
Coscoy Cloe,USA,11,4T5z 10 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,4,4,X,1,2,1,2,1
Lukan Vita,SLO,11,5T5z 10 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,1,2,2,3,3,2,2
Toothill Holly,GBR,14,4T5z 12 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,1,1,X,4,3,2,7,3
Moroni Camilla,ITA,15,4T5z 13 10,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,1,1,X,1,3,3,7,4
Matsufuji Anon,JPN,15,4T5z 11 12,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,6,5,2,1,X,4,1,1
Nonaka Miho,JPN,17,3T5z 3 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,1,1,1,1,X,5,X,1
Mackenzie Oceania,AUS,17,4T5z 17 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,4,1,3,2,X,1,2,2,8,5
Klingler Petra,SUI,19,3T5z 4 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,2,2,X,1,1,1,X,1
Kruder Julija,SLO,19,3T5z 5 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,1,1,X,1,3,3,1,1
Kura Nanako,JPN,21,3T5z 8 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,5,5,2,1,X,3,1,1
Tesio Giorgia,ITA,21,3T5z 5 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,2,2,1,1,1,X,1,X,6
Caulier Chloe,BEL,23,3T5z 7 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,1,3,1,2,2,X,4
Debevec Katja,SLO,23,3T4z 8 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,2,2,5,3,1,1
Rogora Laura,ITA,25,2T5z 3 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,2,2,X,1,X,2,1,1
Mason Quinn,USA,25,3T5z 11 13,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,1,X,5,4,4,5,2
Calliet Agathe,FRA,25,3T5z 11 13,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,3,1,X,2,X,3,6,6
SA SOL,KOR,28,2T5z 3 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,1,1,2,1,X,7,X,1
Cullen Kylie,USA,29,3T5z 13 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,4,2,5,1,4,1
