name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
KATIBIN KIROMAL,INA,1,5.04 (WR) (AsR),"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.04,5.097,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
CAO LONG,CHN,2,5.21,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.491,5.219,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
LONG JIANGUO,CHN,3,5.22,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.226,5.263,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
WU PENG,CHN,4,5.32,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.519,5.321,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Alipour Shenazandifard Reza,IRI,5,5.33,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.332,5.416,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Brosler John,USA,6,5.35,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.352,5.71,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
LONG JINBAO,CHN,7,5.36,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.47,5.365,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
LEONARDO VEDDRIQ,INA,8,5.37,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.375,5.427,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
MUHAMMAD FAJRI ALFIAN,INA,9,5.43,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.569,5.436,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
ADI MULYONO RAHMAD,INA,10,5.450,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.476,5.45,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Fossali Ludovico,ITA,11,5.453,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.646,5.453,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Moro Guillaume,FRA,12,5.49,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.635,5.494,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Noya Cardona Erik,ESP,13,5.50,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.571,5.501,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Dzienski Marcin,POL,14,5.54,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.658,5.54,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
ARIPIN ZAENAL,INA,15,5.57,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.574,5.62,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Watson Samuel,USA,16,5.58,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.816,5.583,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
ASPAR ASPAR,INA,17,5.59,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.613,5.594,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
OMASA Ryo,JPN,18,5.61,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.789,5.612,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
SHIN EUNCHEOL,KOR,19,5.63,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.654,5.635,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Zodda Gian Luca,ITA,20,5.704,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.807,5.704,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Khaibullin Rishat,KAZ,21,5.705,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.705,5.838,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
JUNG YONGJUN,KOR,22,5.73,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.735,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Carmanns Leander,GER,23,5.74,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.74,5.893,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Cingari Alessandro,ITA,24,5.78,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.786,5.961,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Bratschi Noah,USA,25,5.791,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.853,5.791,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Boulos Alessandro,ITA,26,5.798,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.798,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Plangger Tobias,AUT,27,5.83 (5.850),"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.85,5.835,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Rebreyend Pierre,FRA,28,5.83 (5.965),"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.965,5.835,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Zurloni Matteo,ITA,29,5.84,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.029,5.849,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Granja Carlos,ECU,30,5.85,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.85,6.05,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Finn-Henry Michael,CAN,31,5.87,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.977,5.877,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Pitcher Ethan,CAN,32,5.88,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.02,5.888,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Asrar Ehsan,IRI,33,5.902,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.902,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Hammer Zach,USA,34,5.904,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,9.031,5.904,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
FUJINO Shuto,JPN,35,5.909,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.909,6.015,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
YASUKAWA Jun,JPN,36,5.92,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.921,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Shafiei Mohsen,IRI,37,5.96,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,8.493,5.968,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Estevez  Isaac,ECU,38,5.983,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.983,6.461,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Lucke Sebastian,GER,39,5.986,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.986,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Murat Alisher,KAZ,40,5.991,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.028,5.991,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
