name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
LEONARDO VEDDRIQ,INA,1.0,5.08,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.089,5.488,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
ADI MULYONO RAHMAD,INA,2.0,5.14,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.206,5.148,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Watson Samuel,USA,3.0,5.15,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.346,5.159,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
KATIBIN KIROMAL,INA,4.0,5.21,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.218,5.249,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
LONG JIANGUO,CHN,5.0,5.26,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.858,5.266,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
ASPAR ASPAR,INA,6.0,5.33,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.335,7.463,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
ZHANG LIANG,CHN,7.0,5.353,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.353,6.732,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Zurloni Matteo,ITA,8.0,5.357,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.654,5.357,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Mawem Bassa,FRA,9.0,5.36,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.964,5.368,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
WU PENG,CHN,10.0,5.38,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.388,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
LONG JINBAO,CHN,11.0,5.42,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.42,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
WANG XINSHANG,CHN,12.0,5.461,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.493,5.461,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Fossali Ludovico,ITA,13.0,5.463,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.463,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
MUHAMMAD FAJRI ALFIAN,INA,14.0,5.464,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.61,5.464,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Rebreyend Pierre,FRA,15.0,5.47,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.064,5.476,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Brosler John,USA,16.0,5.48,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.483,6.575,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
OMASA Ryo,JPN,17.0,5.49,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.803,5.496,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Maimuratov Amir,KAZ,18.0,5.50,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.794,5.502,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
JUNG Yongjun,KOR,19.0,5.56,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.56,5.688,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Ernsberger Merritt,USA,20.0,5.57 (5.585),IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.585,5.579,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Granja Carlos,ECU,21.0,5.57 (5.645),IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.579,5.645,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Moro Guillaume,FRA,22.0,5.58,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,8.056,5.581,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Finn-Henry Michael,CAN,23.0,5.59,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,8.797,5.592,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Noya Cardona Erik,ESP,24.0,5.61 (5.703),IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.618,5.703,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Pavlenko Kostiantyn,UKR,25.0,5.61 (5.734),IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.618,5.734,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Bratschi Noah,USA,26.0,5.62,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.62,5.765,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
WANG MINHUI,CHN,27.0,5.65,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.761,5.658,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Estevez  Isaac,ECU,28.0,5.676,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.265,5.676,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Dzienski Marcin,POL,29.0,5.677,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.677,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Boulos Alessandro,ITA,30.0,5.76,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.765,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Li Richard,USA,31.0,5.78,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.788,6.312,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Knapp Lukas,AUT,32.0,5.79,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.875,5.796,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
ARIPIN ZAINAL,INA,33.0,5.81,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.815,7.621,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Lee Yongsu,KOR,34.0,5.82,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,9.457,5.827,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
Tkach Yaroslav,UKR,35.0,5.83,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.832,DNF,2023-05-19_Salt Lake City_Speed_Men_Qualification.csv
