name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
LEE Dohyun,KOR,1,3T4z 3 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,1,1,1,1,1,1,X,12
Ogata Yoshiyuki,JPN,2,3T3z 4 4,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,2,2,1,1,1,1,X,X
Schalck Mejdi,FRA,3,2T4z 5 11,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,2,2,X,1,X,5,3,3
Posch Jan-Luca,AUT,4,2T4z 7 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,3,1,X,4,4,2,X,5
Ondra Adam,CZE,5,2T3z 5 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,3,2,X,10,2,2
Flohé Yannick,GER,6,2T3z 9 18,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,9,1,1,8,8,X,X
ANRAKU Sorato,JPN,7,2T2z 5 3,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,2,1,3,2,X,X
Duffy Colin,USA,8,1T4z 4 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,4,1,X,1,X,2,X,10
Mawem Mickael,FRA,9,1T4z 4 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,4,3,X,1,X,7,X,4
NARASAKI Tomoa,JPN,10,1T4z 15 20,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,3,X,1,X,1,15,15
KAYOTANI Ritsu,JPN,11,1T3z 3 20,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,3,1,X,11,X,8
Lorenzi Simon,BEL,12,1T3z 6 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,2,X,6,6,6
Van Duysen Hannes,BEL,13,1T3z 10 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,1,X,1,10,6
PAN YUFEI,CHN,14,1T2z 1 2,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,1,1,1,X,X
Roberts Toby,GBR,15,1T2z 1 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,1,1,X,5,X,X
CHON Jongwon,KOR,16,1T2z 2 2,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,2,1,X,1,X,X
FUJII Kokoro,JPN,17,1T1z 3 1,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,3,1,X,X,X,X
Kruder Jernej,SLO,18,0T2z 0 3,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,1,X,2,X,X
Milne Maximillian,GBR,19,0T2z 0 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,2,X,X,X,5
Marcus Nimrod,ISR,20,0T1z 0 2,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Semi-final,2023-06-02,/api/v1/category_rounds/8206/results,/api/v1/events/1295/result/3,X,X,X,2,X,X,X,X
