name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
ITO Futaba,JPN,1,4T5z 15 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,4,1,4,3,4,4,X,2,3,3
Garnbret Janja,SLO,1,5T5z 9 5,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,5,1,1,1,1,1
Bertone Oriane,FRA,3,4T5z 5 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,1,1,X,3,2,1
Pilz Jessica,AUT,3,3T5z 12 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,3,6,6,1,1,X,1,5,5
Nonaka Miho,JPN,5,4T5z 7 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,2,2,X,6,3,2,1,1
Yokoyama Sofya,SUI,5,3T5z 14 10,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,6,4,7,2,X,2,1,1
Gejo Stasa,SRB,7,4T5z 12 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,2,2,1,1,5,1,X,1,4,3
Kura Nanako,JPN,7,3T5z 17 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,9,7,7,6,X,1,1,1
Kerem Ayala,ISR,9,4T4z 15 11,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,2,2,X,X,6,6,6,2
SEO Chaehyun,KOR,9,3T5z 17 23,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,5,5,10,8,X,7,2,2
Mackenzie Oceania,AUS,11,2T5z 2 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,1,1,X,2,X,1,1,1
AOYAGI Mia,JPN,11,3T5z 3 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,X,9,X,4,1,1
ELHADJ MIMOUNE Selma,FRA,13,3T5z 5 10,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,X,2,X,4,3,2
Clark Adriene Akiko,USA,13,2T5z 7 18,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,2,4,3,3,3,X,8,X,2
Kruder Julija,SLO,15,3T5z 6 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,3,3,X,5,X,3,2,2
Janicot Hélène,FRA,15,2T5z 9 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,3,3,6,2,X,1,X,5
Tesio Giorgia,ITA,17,2T5z 9 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,6,4,X,6,X,1,3,2
Färber Johanna,AUT,17,3T5z 10 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,3,3,X,1,X,3,6,1
Debevec Katja,SLO,19,2T5z 9 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,5,5,4,2,X,1,X,6
Cohaut Flavy,FRA,19,3T5z 10 11,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,2,2,3,2,X,3,X,2,5,2
LUO ZHILU,CHN,21,2T5z 11 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,3,X,5,4,1,X,2,7,2
Hönig Afra,GER,21,2T5z 2 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,X,4,X,1,X,2
Klingler Petra,SUI,23,2T5z 11 19,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,2,7,3,X,6,X,4,4,4
Fischer Madison,CAN,23,2T5z 2 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,1,1,X,4,X,4,X,3
SEKIKAWA Melody,JPN,25,2T5z 3 22,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,X,1,X,15,X,4,2,1
Rogora Laura,ITA,25,2T4z 6 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,X,X,2,1,X,1,4,4
Sterrer Franziska,AUT,27,2T4z 7 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,3,X,X,6,5,X,3,1,1
Mcneice Erin,GBR,27,2T5z 4 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,1,1,3,2,X,1,X,4,X,1
Condie Kyra,USA,27,2T4z 7 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,4,4,X,5,X,1,3,2
Coscoy Cloe,USA,30,2T5z 7 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,6,1,1,1,X,5,X,6,X,1
Wienand Roxana,GER,31,2T3z 3 5,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,2,2,1,1,X,X,X,X,X,2
Medici Giulia,ITA,31,2T4z 9 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,6,6,3,3,X,1,X,6
SA Sol,KOR,33,2T4z 13 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,4,3,X,X,X,1,9,4
Taub Yael,ISR,33,1T5z 4 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,3,4,2,X,5,X,4,X,1
Toothill Holly,GBR,35,1T5z 2 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,X,7,2,2,X,3,X,3
Tarkus Lucija,SLO,35,1T5z 5 20,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,5,5,X,2,X,3,X,7,X,3
Kazbekova Ievgeniia,UKR,37,1T4z 2 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,2,2,X,1,X,1,X,X,X,2
Caulier Chloe,BEL,37,1T4z 3 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,X,X,3,2,X,5,X,4
Smetanova Michaela,CZE,39,1T4z 2 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,2,1,X,3,X,2,X,9
